Path,Category,Can you describe the shape or form of the item?,What details become apparent upon closer inspection of the image?,What role does the item in the image serve?,What colors are commonly associated with the item?,How is the item typically obtained?,What are some common places where the item might be found or used?
/content/Dataset_simple_sketch/test/tree/18563.png,tree,the shape or form of the item is a tree,the shape of the leaves and the shape of the tree,it is a tree,black and white,it is typically obtained from a tree,"in a classroom, in a library, in a classroom, in a library, in a library, in a library,"
/content/Dataset_simple_sketch/test/hand/7843.png,hand,a line drawing of a hand,the hand is a single line drawing of a hand reaching up to the sky,it is a hand,black and white,it is typically obtained from a person's hand,"handbags, purses, hats, t-shirts, hats, hats, hats, hat"
/content/Dataset_simple_sketch/test/penguin/12001.png,penguin,penguin,the penguin is wearing a hat,a penguin is a penguin is a penguin is a penguin is a penguin is a penguin is,black and white,"from a zoo, aquarium, or zoo","penguin coloring pages, penguin coloring pages, penguin coloring pages, penguin coloring pages, penguin coloring pages, penguin coloring pages,"
/content/Dataset_simple_sketch/test/snake/15444.png,snake,a line drawn on a white background,there is a curved line in the middle of the image,it is a line drawn on a white background,black and white,it is obtained by drawing a line on a white background,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/dragon/5685.png,dragon,dragon coloring pages | credit usd $1,the dragon is wearing a hat with a horn on it,a dragon coloring page,black and white,a credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1,"coloring pages, coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages,"
/content/Dataset_simple_sketch/test/mouth/10881.png,mouth,a line drawing of a lips,the lips are drawn in a single line,as a character in a story,black and white,from a tattoo parlour,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/parking meter/11682.png,parking meter,the item is shaped like a musical instrument,"the instrument is a harpsichord, a harpsichord, a harpsich",a musical instrument,black and white,from a music store,"kitchen, bathroom, bedroom, living room, bedroom, bathroom, kitchen, bathroom, bedroom, bathroom, bedroom, bathroom, bedroom, bathroom, bedroom"
/content/Dataset_simple_sketch/test/snail/15365.png,snail,snail,the snail is drawn in a single line,it is a drawing of a snail on a white background,black and white,from a snail's shell,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/grenade/7521.png,grenade,grenade grenade grenade grenade grenade grenade grenade gren,the grenade is shaped like a grenade,a grenade,black and white,in the form of a grenade,"a grenade, a grenade launcher, a grenade launcher, a grena"
/content/Dataset_simple_sketch/test/grapes/7441.png,grapes,a bunch of grapes,the shape of the grapes,a fruit or vegetable,"red, white, and green",in the form of a bunch of grapes,"in the kitchen, in the bathroom, in the bedroom, in the living room, in the bedroom, in the living room, in the bedroom,"
/content/Dataset_simple_sketch/test/airplane/11.png,airplane,a line drawing of a plane,a single line drawing of a plane flying over a white background,a flying object,black and white,it is typically obtained by a scuba diver,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/sheep/14803.png,sheep,a line drawing of a dog,the dog's head is tilted to the side,a dog,black and white,from a pet store,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/rabbit/13282.png,rabbit,a line drawing of a rabbit,the hare has a long tail and a stubby tail,a hare,black and white,"from a zoo, zoo, zoo, zoo, zoo, z","in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/carrot/3685.png,carrot,a line drawing of a carrot on a white background,a carrot is drawn in a single line,a vegetable,"red, orange, yellow, green",from a farmer's market,"grocery stores, restaurants, cafeterias, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/bathtub/1121.png,bathtub,the shape of the item is round,the shape of the legs of the stool,it is a stool,black and white,from a furniture store,"kitchen, bathroom, bedroom, living room, dining room, bedroom, bathroom, kitchen, living room, bedroom, bathroom, kitchen, living room,"
/content/Dataset_simple_sketch/test/ant/241.png,ant,ant,the ant has two legs and a head,ant ant ant ant ant ant ant ant ant ant ant ant ant ant ant,black and white,it is typically obtained as a gift from a friend or family member,"ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant farm, ant"
/content/Dataset_simple_sketch/test/head-phones/8163.png,head-phones,a pair of headphones,there is a cord attached to the headphone,a headphone,black and white,from a telecommunications company,"earphones, earbuds, earphones, earphones, earphones, earphones,"
/content/Dataset_simple_sketch/test/space shuttle/15764.png,space shuttle,a line drawing of a rocket,the rocket has a spherical shape and a spherical tail,a rocket launcher,black and white,from a rocket launcher,"airplanes, spaceships, rockets, spaceships, rockets, rockets, rockets, rockets, rockets, rocket"
/content/Dataset_simple_sketch/test/sword/16963.png,sword,the shape of the item is a line drawing,the shape of the saber is a saber with a hook on one end and a hook on the other end,it is a tool used by a hunter to catch prey,black and white,"from the fossilized remains of a prehistoric animal, such as a mammoth or a tyrannosaurus","aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/shoe/14962.png,shoe,a single line drawing of a person sitting in a chair,the drawing is a one-line drawing of a person sitting in a chair,it's a chair,black and white,it is usually obtained from a pawn shop or pawn shop,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/cake/3042.png,cake,cake,the cake is shaped like a birthday cake,birthday cake,black and white,from a bakery,"a birthday party, a birthday party, a birthday party, a birthday party, a birthday party, a birthday party,"
/content/Dataset_simple_sketch/test/sailboat/13922.png,sailboat,a line drawing of a sailboat on a white background,the shape of the sailboat,a sailboat,blue and white,from a sailor,"on a boat, on a beach, on a boat, on a boat, on a boat, on a boat,"
/content/Dataset_simple_sketch/test/swan/16881.png,swan,swan,the swan is a single line drawing on a white background,a swan,black and white,from a swan,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/traffic light/18402.png,traffic light,the item is shaped like a tablet,there is a slit in the side of the package,it is a syringe,"red, yellow, green, blue",from a pharmacy,"in a pharmacy, in a hospital, in a doctor's office, in a doctor's office, in a hospital"
/content/Dataset_simple_sketch/test/church/4163.png,church,the shape of the item is a church steeple,there is a cross at the top of the tower,a church steeple,black and white,from a church,"churches, cathedrals, cathedrals, churches, churches, churches, churches, churches, churches, churches, churches, churches, churches, churches,"
/content/Dataset_simple_sketch/test/piano/12241.png,piano,a line drawing of a piano,there is a piano in the background,a musical instrument,black and white,from a music store,"a concert hall, a concert hall, a concert hall, a concert hall, a concert hall, a concert hall,"
/content/Dataset_simple_sketch/test/trumpet/18881.png,trumpet,a single line drawing of a teddy bear,the image is a continuous line drawing of a hand holding a syringe,it is a toy,black and white,it is typically obtained from a taiwanese taiwanese taiwanes,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/giraffe/7361.png,giraffe,giraffe,the giraffe has a long neck and a long tail,giraffe,black and white,from a zoo or zoological park,"a giraffe coloring page, a giraffe coloring page, a giraffe coloring page, a "
/content/Dataset_simple_sketch/test/crab/4805.png,crab,crab,the crab has a squid-like body and a squid-like tail,it is a crab,black and white,from a zoo or aquarium,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/cannon/3444.png,cannon,cannon,a cannon is drawn on a white background,cannon,black and white,from a cannon,"cannons, cannons, cannons, cannons, cannons, cannons,"
/content/Dataset_simple_sketch/test/snowboard/15525.png,snowboard,a line drawing of a sheet of paper,the image is a black and white drawing of a piece of paper,it is a drawing of a piece of paper,black and white,from a store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/butterfly/2805.png,butterfly,butterfly,"there is a wing on the left side of the image, and a wing on the right side of the image",as a character in a story,black and white,from a doodle artist,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/apple/322.png,apple,apple,the shape of the apple,it is a fruit,"red, yellow, and green",from a farmer's market,"apple pies, apple pies, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple"
/content/Dataset_simple_sketch/test/face/6245.png,face,face,there is a smirk on his face and he has a smile on his face,a character in a video game,black and white,it is a drawing of a man with a smile on his face,"tumblr, tumblr, tumblr, tumblr, tumblr,"
/content/Dataset_simple_sketch/test/microphone/10323.png,microphone,a line drawing of a microphone on a white background,the microphone has a cord attached to it,a microphone,black and white,from a karaoke machine,"in a recording studio, on a stage, in a recording studio, in a recording studio, in a recording studio, in"
/content/Dataset_simple_sketch/test/cat/3843.png,cat,a line drawing of a rat,the rat's head is tilted to the side,a rat,black and white,from a pet store,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/sea turtle/14563.png,sea turtle,turtle,the turtle's body is shaped like an octopus,a turtle,black and white,from a zoo or aquarium,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/door/5521.png,door,the item is shaped like a box,the door is open and the door handle is open,a storage container,black and white,from a hardware store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/truck/18802.png,truck,a line drawing of a truck,the truck has a flat top and a flat bottom,it is a truck,black and white,from a trucking company,"on a truck, on a truck, on a truck, on a truck, on a truck, on a truck,"
/content/Dataset_simple_sketch/test/windmill/19603.png,windmill,a line drawing of a windmill,the shape of the windmill,a windmill,black and white,from a craft store,"windmills, windmills, windmills, windmills, windmills, windmills, windmills, windmill"
/content/Dataset_simple_sketch/test/tv/18962.png,tv,a tv screen on a stand,there is a white screen on top of a white background,tv screen,black and white,from a hardware store,"televisions, monitors, computer monitors, tvs, computer monitors, computer monitors, computer monitors, computer monitors"
/content/Dataset_simple_sketch/test/mailbox/10085.png,mailbox,a mailbox,there is a mailbox on top of a pole,mail box,black and white,from a post office,mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes mailboxes
/content/Dataset_simple_sketch/test/pineapple/12561.png,pineapple,pineapple,"the shape of the fruit is oblong, and the shape of the fruit is spherical",it is a fruit,"green, yellow, and orange",in the form of a cactus,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/horse/8484.png,horse,a line drawing of a horse,the horse's head is tilted to the side,is it a horse or a cow?,black and white,from a horse breeder,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/fire hydrant/6484.png,fire hydrant,fire hydrant,the fire hydrant is shaped like a fire hydrant,fire hydrant,red and yellow,from a fire hydrant,"fire hydrant, fire hydrant, fire hydrant, fire hydrant, fire hydrant, fire hydrant,"
/content/Dataset_simple_sketch/test/cabinet/2883.png,cabinet,spherical,the shape of the bag is shaped like a triangle,it is a part of a car,black and white,from a local auto parts store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/bicycle/1685.png,bicycle,a line drawing of a bicycle,the bicycle has a front wheel and a rear wheel,it is a bicycle,black and white,from a bicycle shop,"bicycle shop, bicycle shop, bicycle shop, bicycle shop, bicycle shop, bicycle shop, bicycle shop, bicycle shop, bicycle shop, bicycle shop,"
/content/Dataset_simple_sketch/test/computer-mouse/4563.png,computer-mouse,a line drawing of a mouse on a white background,the mouse has a long tail,it is a mouse,black and white,from a mouse's mouth,"computer keyboards, mousepads, mousepads, mousepads, mousepads, mousepads, mousepads, mousepad"
/content/Dataset_simple_sketch/test/microscope/10401.png,microscope,a line drawing of a microscope,the drawing is a single line drawing of a hand holding a magnifying glass,a microscope,black and white,from a medical laboratory,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/ship/14882.png,ship,outline of a ship,the outline of a cruise ship is drawn on a white background,it is a drawing of a ship on a white background,black and white,from a cruise liner,"cruise ships, cruise ships, cruise ship, cruise ship, cruise ship, cruise ship, cruise ship, cruise ship, cruise ship, cruise ship,"
/content/Dataset_simple_sketch/test/tiger/17845.png,tiger,a tiger,the tiger is wearing a t-shirt,it is a tiger coloring page,black and white,"from a zoo, zoo, zoo, zoo, zoo, z",a tiger coloring page
/content/Dataset_simple_sketch/test/cactus/2964.png,cactus,cactus,"the cactus is a cactus, not a cactus plant",cactus,black and white,from a cactus,cactus cactus cactus cactus cactus cactus cactus c
/content/Dataset_simple_sketch/test/suv/16803.png,suv,the shape of the item is a line drawing of a truck,the shape of the truck's wheels and the shape of the truck's body,it is a vehicle,black and white,it is usually obtained from a pawn shop or pawnbroker,"in a car, truck, van, or other vehicle"
/content/Dataset_simple_sketch/test/rainbow/13522.png,rainbow,the shape of the item is a line drawing,"there is a curved line in the middle of the image, and a curved line in the middle of the image",it is a line drawn on a white background,black and white,it is usually obtained from a sand dune or a sand dune sand dune s,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/bread/2404.png,bread,shape of the item is oblong,there is a slanted line in the middle of the image,it is a doodle of a doodle of a doodle of a doodle of a d,black and white,it is usually obtained from a pawn shop or pawnbroker,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/rollerblades/13765.png,rollerblades,line drawing of a pair of roller skates,there is a pair of roller skates on the bottom of the image,it is a pair of roller skates,black and white,from a skating rink,"skating rinks, ice skating rinks, ice skating rinks, ice skating rinks, ice skating "
/content/Dataset_simple_sketch/test/keyboard/9281.png,keyboard,a hand drawn sketch of a piece of paper,the drawing is a hand drawn sketch of a keyboard,it is a piece of paper,black and white,it is typically obtained from a museum or art gallery,"in a library, in a museum, in a library, in a museum, in a museum, in a museum,"
/content/Dataset_simple_sketch/test/rooster/13841.png,rooster,a line drawing of a bird,the bird is wearing a hat,a bird,black and white,from a pheasant's nest,"hats, hats, hats, hats, hats, hats, hats, hat"
/content/Dataset_simple_sketch/test/socks/15683.png,socks,sock,"the sock has a heel and a toe, and the sock has a heel and a toe",a sock,black and white,from a sock store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/zebra/19925.png,zebra,zebra,the zebra is a black and white drawing of a zebra,a zebra,black and white,"from a zoo, zoo, zoo, zoo, zoo, z","zoos, zoos, zoos, zoos, zoos,"
/content/Dataset_simple_sketch/test/lobster/10000.png,lobster,the shape of the item is a bug,the insect has a head and a tail,it is a bug,black and white,in the form of a parasitic nematode nematode nematode nematode nem,"sandboxes, aquariums, ponds, ponds, ponds, ponds, ponds,"
/content/Dataset_simple_sketch/test/car (sedan)/3601.png,car (sedan),a line drawing of a car,it is a single line drawing of a car,a vehicle,black and white,from a manufacturer,"in a car, on a bus, on a train, on a bus, on a train, on a bus,"
/content/Dataset_simple_sketch/test/pigeon/12485.png,pigeon,a line drawing of a pheasant,the bird is a pigeon,a pigeon,black and white,in the form of a pigeon,"on a t-shirt, on a hat, on a shirt, on a hat, on a shirt,"
/content/Dataset_simple_sketch/test/foot/7045.png,foot,a line drawing of a person's foot,"the shape of the toes, the shape of the heel, the shape of the ankle, the shape of the heel, the shape of the",a foot,black and white,it is usually obtained from a person's foot,"shoes, socks, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes,"
/content/Dataset_simple_sketch/test/comb/4404.png,comb,a line drawing of a comb,the comb is shaped like a comb,it is a comb,black and white,from a barber shop,"barber shop, barber shop, barber shop, barber shop, barber shop, barber shop, barber shop, barber"
/content/Dataset_simple_sketch/test/present/12962.png,present,it is a gift box with a bow,the shape of the gift box is a rectangle with a bow tied around it,it is a gift,red and white,from a gift-giver,"gift boxes, gift bags, gift wrap, gift boxes, gift boxes, gift wrap, gift wrap, gift wrap, gift wrap, gift wrap,"
/content/Dataset_simple_sketch/test/ashtray/561.png,ashtray,spherical,the shape of the bowl is shaped like a bowl,it is a container,black and white,from a toyota dealer,"in a car, truck, or other vehicle"
/content/Dataset_simple_sketch/test/mosquito/10644.png,mosquito,a line drawing of a dragonfly,the dragonfly has a long slender body and a long slender tail,it is a dragonfly,black and white,"from a zoo, aquarium, or zoo","children's books, coloring books, encyclopedias, encyclopedias, encyclopedias, encyclopedia"
/content/Dataset_simple_sketch/test/tablelamp/17284.png,tablelamp,a spherical lamp,"the shape of the lamp is oblong, and the shape of the lamp shade is oblong",a lamp,black and white,from a lamp store,"bedroom, living room, dining room, bedroom, living room, bedroom, living room, bedroom, living room, bedroom, living room, bedroom,"
/content/Dataset_simple_sketch/test/spider/15921.png,spider,the shape of the item is a spider,the spider's head is shaped like a spherical ball,it is a spider,black and white,from a spider's web,"in a spider's web, in a spider's web, in a spider's web, in a spider's"
/content/Dataset_simple_sketch/test/pen/11924.png,pen,a line drawing of a pen on a white background,the pen has a clip on the end of the barrel,a writing instrument,black and white,from a manufacturer,"fountain pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen, ballpoint pen"
/content/Dataset_simple_sketch/test/saxophone/14241.png,saxophone,saxophone,the shape of the saxophone,saxophone saxophone saxophone saxophone saxophone,black and white,from a saxophone,"a saxophone, clarinet, flute, oboe, trumpet, saxophone,"
/content/Dataset_simple_sketch/test/canoe/3524.png,canoe,a line drawing of a boat,"the shape of the boat's bow and stern, the shape of the boat's bow and stern, the shape of the boat'",a boat,black and white,in the form of a single line drawing on a white background,"a boat, a boathouse, a boat, a boathouse, a boathouse, a boathouse, a"
/content/Dataset_simple_sketch/test/teacup/17364.png,teacup,a cup,the cup is shaped like a teacup,a cup of tea,black and white,in the form of a tea cup,"mugs, mugs, mugs, mugs, mugs, mugs, mugs, mug"
/content/Dataset_simple_sketch/test/barn/883.png,barn,a house with a roof,there is a roof on top of the house,it is a building,black and white,it is a drawing of a house with a roof on a white background,"barns, barns, barns, barns, barns, barns, barns, barns, barns, barns,"
/content/Dataset_simple_sketch/test/mug/10962.png,mug,a mug,the mug has a handle and a spout,it is a cup,black and white,from a coffee shop,"coffee shops, cafes, restaurants, hotels, restaurants, cafes, restaurants, hotels, restaurants, cafes, restaurants, hotels, restaurants,"
/content/Dataset_simple_sketch/test/banana/801.png,banana,a line drawing of a banana,the shape of the banana,it is a fruit,yellow and orange,from a banana tree,"grocery stores, restaurants, cafeterias, cafeterias, ice cream parlors, ice cream parlours,"
/content/Dataset_simple_sketch/test/rifle/13685.png,rifle,a line drawing of a rifle,the outline of a rifle is drawn on a white background,a weapon,black and white,from a gunsmith,"in the military, in the military, in the military, in the military, in the military, in the military, in the military, in the"
/content/Dataset_simple_sketch/test/camel/3204.png,camel,a camel,a camel is standing on a white background,a camel,black and white,from a camel breeder,"a camel is a common animal found in the middle east, asia, africa, and the mediterranean"
/content/Dataset_simple_sketch/test/purse/13204.png,purse,yurt,the yurt is shaped like a cone,it is a yurt,black and white,from a yurt,"a yurt, yurt tent, yurt tent, yurt tent, yurt tent"
/content/Dataset_simple_sketch/test/train/18485.png,train,a doodle of a train on a white background,the image is a doodle of a train on a white background,it is a train,black and white,from a train station,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/cloud/4325.png,cloud,cloud,the shape of the cloud is a spherical shape,it is a drawing of a cloud on a white background,black and white,from a craft store,"on t-shirts, hats, hats, hats, hats, hats, hats,"
/content/Dataset_simple_sketch/test/bell/1525.png,bell,triangle,the shape of the tree is a triangle,it is a christmas tree,"red, white, and green",in the form of a teddy bear or teddy bear teddy bear teddy bear te,"on a christmas tree, in a santa claus sleigh, on a santa claus"
/content/Dataset_simple_sketch/test/mushroom/11042.png,mushroom,the item is shaped like a mushroom,the shape of the letter t is shaped like a mushroom,letter t,black and white,from a carpenter's or woodworker's shop,"kitchen, bathroom, bedroom, living room, dining room, bedroom, bathroom, kitchen, living room, bedroom, bathroom, kitchen, living room,"
/content/Dataset_simple_sketch/test/shark/14721.png,shark,a line drawing of a shark,the shark has a long tail and a slender body,it is a drawing of a shark,black and white,from a zoo or aquarium,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/wheel/19443.png,wheel,the shape of the item is a circle,"there is a circle in the middle of the image, and a circle in the middle of the image",it is a part of a wheel,"red, orange, yellow, green, blue",from a citrus fruit,"kitchen, bathroom, bedroom, living room, dining room, bedroom, bathroom, kitchen, living room, bedroom, bathroom, kitchen, living room,"
/content/Dataset_simple_sketch/test/squirrel/16164.png,squirrel,the shape or form of the item is a squirrel,the shape of the squirrel's body and the shape of the squirrel's feet,as a character in a story,black and white,"from a zoo, zoo, zoo, zoo, zoo, z","in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/palm tree/11362.png,palm tree,a line drawing of a palm tree,the palm tree is a single line drawing of a palm tree,it is a simple line drawing of a palm tree,black and white,from a florist,"palm trees, palm trees, palm trees, palm trees, palm trees, palm trees, palm trees, palm trees, palm trees, palm trees,"
/content/Dataset_simple_sketch/test/wrist-watch/19842.png,wrist-watch,the item is shaped like a watch,the watch has a strap and a watch face,a watch,black and white,from a swiss watch manufacturer,"wristwatches, wristwatches, wristwatches, wristwatches, wristwatches, wristwatches,"
/content/Dataset_simple_sketch/test/blimp/1844.png,blimp,a line drawing of a blimp,the shape of the airship is a spherical shape,it is a drawing of a blimp,black and white,"it is usually obtained from a zoo, aquarium, or zoo zoo","airplane coloring pages, airplane coloring pages, airplane coloring pages, airplane coloring pages, airplane coloring pages, airplane coloring pages, airplane coloring pages, airplane coloring"
/content/Dataset_simple_sketch/test/person walking/12164.png,person walking,line drawing of a person walking,the man is wearing a t-shirt and a pair of shorts,is a character in a story,black and white,from a tattoo artist or tattoo parlour,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/violin/19284.png,violin,a line drawing of a stringed instrument,the violin has a bow and a treble clef,a musical instrument,black and white,from a music store,"violins, violas, cellos, violoncellos, violoncellos, cellos,"
/content/Dataset_simple_sketch/test/speed-boat/15841.png,speed-boat,oblong,the shape of the handle and the shape of the blade,a part of a vehicle,"red, blue, green, yellow",from a remanufacturer,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/power outlet/12883.png,power outlet,the item is shaped like a face,there is a white circle in the middle of the face and a black circle in the middle of the face,a power outlet,black and white,from a local hardware store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/sponge bob/16005.png,sponge bob,square,there is a smile on his face and he is holding his arms out in front of him,as a character in a comic book,"red, yellow, green, blue, and black",it is typically obtained by drawing a square on a piece of paper,"in a sandbox, in a sandbox, in a sandbox, in a sand"
/content/Dataset_simple_sketch/test/flying bird/6884.png,flying bird,the shape of the item is a v,the shape of the letter v,the letter v,black and white,it is typically obtained from a bird's nest,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/umbrella/19044.png,umbrella,umbrella,the shape of the umbrella,it is an umbrella,black and white,from a store,"on a beach, in a park, on a boat, on a boat, on a boat, on a boat,"
/content/Dataset_simple_sketch/test/duck/5762.png,duck,the shape of the item is a line drawing of a duck,the shape of the bird's feet and the shape of the bird's head,a bird,black and white,from a zoo or aquarium,"in a zoo, aquarium, zoo, zoo, zoo, zoo,"
/content/Dataset_simple_sketch/test/scorpion/14402.png,scorpion,the shape of the item is a crab,the shape of the crab's body and the shape of its legs,as a food source,"red, orange, yellow, green, blue, and black",from a fisherman's net,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/lighter/9765.png,lighter,a single line drawing of a refrigerator,a single line drawing of a refrigerator,it is a refrigerator,black and white,from a store,"refrigerators, freezers, refrigerators, freezers, refrigerators, freezers, refrigerators, freezers, refrigerators, freezers,"
/content/Dataset_simple_sketch/test/ice-cream-cone/8963.png,ice-cream-cone,shape or form of the item,the shape of the ice cream cone is shaped like an ice cream cone,shape of a country,black and white,it is usually obtained from a local bakery or ice cream parlour,"ice cream parlors, ice cream parlors, ice cream parlors, ice cream parlors, ice"
/content/Dataset_simple_sketch/test/chandelier/4085.png,chandelier,the shape of the item is spherical,the drawing is a sketch of a chandelier,a light fixture,black and white,from a hardware store,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, dining room, bedroom, living room, bedroom, living room,"
/content/Dataset_simple_sketch/test/mermaid/10242.png,mermaid,mermaid,the mermaid has a long tail,mermaid mermaid mermaid mermaid mermaid mermaid mermaid mer,black and white,from a mermaid,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/tooth/18164.png,tooth,the shape or form of the item is a tooth,the tooth is shaped like an octopus,a tooth,black and white,from a dentist,"dentist's office, dentist's office, dentist's office, dentist's office, dentist's office, dentist's office,"
/content/Dataset_simple_sketch/test/calculator/3124.png,calculator,a line drawing of a calculator on a white background,there is a calculator on top of a white background,a calculator,black and white,a calculator is a device that is used to calculate the amount of money that needs to be deposited into a bank account,calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator calculator
/content/Dataset_simple_sketch/test/kangaroo/9124.png,kangaroo,kangaroo,the kangaroo has a long tail,a kangaroo,black and white,from a zoo,"australian kangaroo, australian kangaroo, australian kangaroo, australian kangaro"
/content/Dataset_simple_sketch/test/spoon/16082.png,spoon,a line drawing of a spoon,the handle of the spoon is curved,utensil utensil utensil utensil utensil utensil,black and white,from a local hardware store,"kitchen, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchen"
/content/Dataset_simple_sketch/test/sun/16723.png,sun,the shape of the item is a circle,the sun is a circle with rays coming out of it,the sun,yellow and orange,it is a drawing of a sun on a white background,"in a t-shirt, on a shirt, on a shirt, on a shirt, on a shirt, on "
/content/Dataset_simple_sketch/test/trousers/18721.png,trousers,a pair of pants,the crotch of the pant leg is a little wider than the crotch of the pant leg,it is a pair of pants,black and white,from a clothing store,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/pickup truck/12323.png,pickup truck,a line drawing of a car,the drawing is a one-line drawing of a car,it is a vehicle,black and white,it is typically obtained from a doodle artist,"cars, trucks, buses, trains, airplanes, trains, boats, airplanes, trains, cars, trucks, buses, trains, airplanes"
/content/Dataset_simple_sketch/test/teapot/17444.png,teapot,a single line drawing of a teapot,the kettle has a handle and a spout,a kettle,"red, orange, yellow, green, blue, black, white",from a tea shop,"in a kitchen, in a bathroom, in a bedroom, in a living room, in a living room, in a"
