Path,Category,Prediction,Shape of the item.,Details of the item.,Use of item.,Describe how this item is typically obtained.,Identify some common places where the item might be found or used.
/content/Dataset_simple_sketch/test/zebra/19941.png,zebra,zebra,zebra,line drawing of a zebra on a white background,a line drawing of a zebra on a white background,by drawing a line on a white background,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/zebra/19954.png,zebra,zebra,zebra,1 credit usd $1 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1 credit usd 1,1 credit usd $1,it is typically obtained by drawing a line on a white background,"zoos, zoos, zoos, zoos, zoos,"
/content/Dataset_simple_sketch/test/zebra/19960.png,zebra,zebra,zebra,line drawing of a zebra,a zebra,by drawing a line on a white sheet of paper,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/zebra/19945.png,zebra,zebra,zebra,1 credit usd $1,a line drawing of a zebra on a white background,from a zoo or zoological park,"a zoo, zoo, zoo, zoo, zoo, zo"
/content/Dataset_simple_sketch/test/zebra/19962.png,zebra,kangaroo,a line drawing of a giraffe,a line drawing of a tiger on a white background,a line drawing of a giraffe on a white background,it is typically obtained by drawing a line on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/zebra/19944.png,zebra,zebra,zebra,line drawing of a zebra on a white background,a line drawing of a zebra on a white background,it is typically obtained by drawing a line on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/zebra/19986.png,zebra,zebra,zebra,drawing of a zebra,a zebra,a zebra is drawn on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/mug/10965.png,mug,mug,mug,drawing of a coffee mug,coffee mug,it is typically obtained by drawing a line on a white surface,"coffee mugs, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/mug/10985.png,mug,mug,coffee cup,a cup of coffee,a cup of coffee,it is typically obtained by drawing a line on a white background,"coffee mugs, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/mug/10966.png,mug,beer-mug,mug,line drawing of a coffee mug,coffee mug,it is typically obtained by drawing a line on a white background,"coffee mugs, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/mug/10991.png,mug,beer-mug,mug,price 1 credit usd $1,price 1 credit usd $1,it is typically obtained by drawing a line on a white background,"beer mugs, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/mug/11031.png,mug,teddy-bear,how to draw a mug,how to draw a mug,how to draw a mug,draw a line from the bottom of the cup to the top of the cup and draw a line from the bottom of the cup to the top,"coffee mugs, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/mug/10999.png,mug,mug,coffee mug,a coffee mug,coffee mug,it is typically obtained by drawing a line on a white background,"coffee mugs, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/mug/10969.png,mug,mug,mug,drawing of a coffee mug,how to draw a coffee mug,it is typically obtained by drawing a line on a white surface,"coffee mugs, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/mug/11017.png,mug,mug,jug,drawing of a jug,how to use a jug,it is typically obtained by pouring a liquid into a jug,coffee mugs mugs mugs mugs mugs mugs mugs mugs mugs mug
/content/Dataset_simple_sketch/test/mug/11030.png,mug,teapot,jug,line drawing of a jug,jug,a jug of water is poured into a jug of water,"coffee mugs, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/mug/10977.png,mug,teddy-bear,a cup,a single line drawing of a coffee cup,a cup of coffee,it is obtained by drawing a single line on a white background,"coffee mugs, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/mug/11040.png,mug,mug,mug,line drawing of a coffee mug,a cup of coffee,it is typically obtained by drawing a line on a white background,"coffee mugs, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/mug/10971.png,mug,vase,jug,hyundai hyundai hyundai hyundai hyundai,a mug with a handle and a spout,it is typically obtained by drawing a line on a white background,"coffee mugs, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/mug/11027.png,mug,teapot,jug,tefal tefal tefal tefal tefal tefal,a coffee jug,it is obtained by drawing a line on a white surface,"coffee shops, cafeterias, hotels, restaurants, cafeterias, cafeterias, cafeterias, cafeteria"
/content/Dataset_simple_sketch/test/mug/11014.png,mug,mug,mug,drawing of a mug,mug,it is typically obtained by drawing a line on a white surface,"coffee mugs, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/mug/11022.png,mug,ashtray,line drawing of a cup,line drawing of a cup,line drawing of a coffee mug,by drawing a line on a white sheet of paper,coffee mugs mugs mugs mugs mugs mugs mugs mugs mugs mug
/content/Dataset_simple_sketch/test/mug/11038.png,mug,mug,coffee cup,a cup of coffee,coffee mug,by drawing a line on a white surface,"coffee shops, cafes, restaurants, cafeterias, cafeterias, cafeterias, cafeterias, restaurants,"
/content/Dataset_simple_sketch/test/dragon/5749.png,dragon,crocodile,a line drawing of a dinosaur,line drawing of a dinosaur on a white background,a line drawing of a dinosaur with a bird in its mouth,by drawing a line on a white background,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/dragon/5692.png,dragon,dragon,s,1 credit usd $1,1 credit usd $1,it is typically obtained from a chinese talisman,"a chinese zodiac, chinese zodiac symbols, chinese zodiac symbols, chi"
/content/Dataset_simple_sketch/test/dragon/5707.png,dragon,kangaroo,shape of the item. shape of the item. shape of the item. shape of the item. shape of the item. shape of the item.,a line drawing of a bird flying in the air,a teddy bear,"It is typically obtained from a zoo, aquarium, or zoo exhibit","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/dragon/5724.png,dragon,crocodile,octopus shape of the item. Answer: octopus shape of the item. Answer: octopus shape,pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon,pokemon pokemon pokemon pokemon pokemon pokemon pokemon pokemon pokemon pokemon pokemon pokemon pokemon pokemon pokemon,it is typically obtained from a pokemon game,"pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages,"
/content/Dataset_simple_sketch/test/dragon/5719.png,dragon,teddy-bear,s s s s s s s s s s s s s s s,s - s - s - s - s - s - s - s,s s s s s s s s s s s s s s s,it is typically obtained by drawing a line on a white sheet of paper,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/dragon/5698.png,dragon,dragon,Shape of the item. Shape of the item. Shape of the item. Shape of the item. Shape of the item. Shape of the item.,1 credit usd $1,1 credit usd $1,it is typically obtained from a zoo or zoological park,dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages
/content/Dataset_simple_sketch/test/dragon/5726.png,dragon,dragon,dragon,drawing of a dragon drawing of a dragon drawing of a dragon drawing of a dragon drawing of a dragon drawing of a dragon,how to draw a dragon,it is typically obtained by drawing a picture of a dragon on a white background,"in a children's book, in a children's story, in a children's storybook, in a children'"
/content/Dataset_simple_sketch/test/dragon/5688.png,dragon,teddy-bear,t - rex,tyrannosaurus rex coloring pages tyrannosaurus rex coloring pages tyrannosau,t-rex coloring pages,it is typically obtained from a zoo or zoological park,"dinosaur coloring pages, dinosaur coloring pages, dinosaur coloring pages, dinosaur coloring pages, dinosaur coloring pages, dinosaur coloring pages, dinosaur coloring pages, dinosaur coloring"
/content/Dataset_simple_sketch/test/dragon/5711.png,dragon,dragon,shape of the item,pokemon coloring pages - pokemon coloring pages - pokemon coloring pages - pokemon coloring pages - pokemon coloring pages -,pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon,it is obtained by catching a pokemon in a game of pokemon,"pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages,"
/content/Dataset_simple_sketch/test/dragon/5709.png,dragon,dragon,a line drawing of a dragon on a white background,line drawing of a dragon on a white background,a line drawing of a dragon on a white background,by drawing a line on a white background,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/dragon/5723.png,dragon,dragon,a dragon,dragon coloring pages - dragon coloring pages - dragon coloring pages - dragon coloring pages - dragon coloring pages - dragon coloring pages -,how to draw a dragon,it is typically obtained from a comic book or graphic novel,dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages
/content/Dataset_simple_sketch/test/dragon/5715.png,dragon,teddy-bear,octopus,drawing of a dragon coloring page,a teddy bear,it is typically obtained from a comic book or graphic novel,"in a zoo, aquarium, zoo, zoo, zoo, zoo,"
/content/Dataset_simple_sketch/test/dragon/5756.png,dragon,dragon,shape of the item. shape of the item. shape of the item. shape of the item. shape of the item. shape of the item.,pokemon coloring pages - pokemon coloring pages - pokemon coloring pages - pokemon coloring pages - pokemon coloring pages -,pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon coloring pages pokemon,it is obtained by catching a pokemon in a game of pokemon,"pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages, pokemon coloring pages,"
/content/Dataset_simple_sketch/test/dragon/5696.png,dragon,dragon,shape of the item. shape of the item. shape of the item. shape of the item. shape of the item. shape of the item.,dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages,dragon coloring pages - use of item,it is typically obtained from a tarot card or a tarot card deck,dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages dragon coloring pages
/content/Dataset_simple_sketch/test/dragon/5681.png,dragon,dragon,shape of the item,drawing of a dragon drawing of a dragon drawing of a dragon drawing of a dragon drawing of a dragon drawing of a dragon,Use of item.,It is typically obtained from a dragon's egg,"dragon coloring pages, dragon coloring pages, dragon coloring pages, dragon coloring pages, dragon coloring pages, dragon coloring pages, dragon coloring pages, dragon coloring"
/content/Dataset_simple_sketch/test/dragon/5683.png,dragon,dragon,shape of the item. shape of the item. shape of the item. shape of the item. shape of the item. shape of the item.,dragon coloring pages - dragon coloring pages - dragon coloring pages - dragon coloring pages - dragon coloring pages - dragon coloring pages -,dragon coloring pages,it is typically obtained from a tarot card or a tarot card deck,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/shoe/14973.png,shoe,shoe,a shoe,continuous line drawing of a shoe,continuous line drawing of a shoe,it is typically obtained by drawing a continuous line on a white background,shoelaces shoelaces shoelaces shoelaces shoelaces shoelaces shoelaces shoelaces shoelaces shoelaces
/content/Dataset_simple_sketch/test/shoe/15005.png,shoe,teddy-bear,a line drawing of a teddy bear,a line drawing of a cat's head,a line drawing of a teddy bear,it is typically obtained from a cadaver,common places where the item might be found or used
/content/Dataset_simple_sketch/test/shoe/14983.png,shoe,shoe,line drawing of a shoe,a line drawing of a woman's shoe,line drawing of a shoe,by drawing a line on a white surface,"shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores,"
/content/Dataset_simple_sketch/test/shoe/15031.png,shoe,shoe,line drawing of a shoe,a line drawing of a shoe,line drawing of a shoe,it is typically obtained from a shoe store,shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store
/content/Dataset_simple_sketch/test/shoe/14979.png,shoe,shoe,line drawing of a shoe,a line drawing of a shoe on a white background,line drawing of a shoe with laces,it is typically obtained by drawing a line on a white background,shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store
/content/Dataset_simple_sketch/test/shoe/15028.png,shoe,shoe,line drawing of a shoe,line drawing of a pair of shoes,a pair of shoes,by drawing a single line on a white background,shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store
/content/Dataset_simple_sketch/test/shoe/15016.png,shoe,shoe,line drawing of a shoe,single line drawing of a shoe,a single line drawing of a shoe,by drawing a continuous line on a white background,shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store
/content/Dataset_simple_sketch/test/shoe/14961.png,shoe,shoe,line drawing of a shoe on a white background,line drawing of a shoe on a white background,line drawing of a shoe on a white background,it is typically obtained from a shoe store,shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store
/content/Dataset_simple_sketch/test/shoe/15034.png,shoe,shoe,high heeled shoe,line drawing of a woman's high heeled shoe,high heeled shoe,it is typically obtained by drawing a continuous line on a white background,"shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores,"
/content/Dataset_simple_sketch/test/shoe/15019.png,shoe,teddy-bear,a line drawing of a teddy bear,a line drawing of a person's foot,drawing a line on a white background,it is typically obtained by drawing a line on a white background,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/shoe/14975.png,shoe,shoe,oblong oblong oblong oblong oblong oblong oblong o,oem toyota tacoma tacoma tacoma tacoma,a) a) b) c) d) e) f) g) h) i),from a local auto parts store,"shoes, boots, shoes, boots, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes,"
/content/Dataset_simple_sketch/test/shoe/14984.png,shoe,shoe,line drawing of a shoe,line drawing of a shoe on a white background,line drawing of a shoe on a white background,it is usually obtained from a shoemaker,shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store
/content/Dataset_simple_sketch/test/shoe/14991.png,shoe,shoe,a shoe,a pair of shoes with a pair of socks and a pair of shoes with a pair of socks and a pair of shoes with,a pair of shoes,it is typically obtained from a person's feet,shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store shoe store
/content/Dataset_simple_sketch/test/shoe/15027.png,shoe,shoe,line drawing of a shoe with a bow,single line drawing of a shoe with a bow,line drawing of a shoe with a bow,a single line drawing of a shoe with a bow,"shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store,"
/content/Dataset_simple_sketch/test/shoe/15013.png,shoe,shoe,line drawing of a shoe,a line drawing of a shoe on a white background,line drawing of a shoe on a white background,it is typically obtained by drawing a line on a white background,"shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store,"
/content/Dataset_simple_sketch/test/shoe/14962.png,shoe,teddy-bear,shape of the item,a single line drawing of a person sitting on a chair,a line drawing of a teddy bear sitting on a chair,it is typically obtained from a pawn shop or pawn shop,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/panda/11495.png,panda,teddy-bear,teddy bear,drawing of a teddy bear,line drawing of a teddy bear,by drawing a line on a white sheet of paper,"a teddy bear, a teddy bear doll, a teddy bear doll, a t"
/content/Dataset_simple_sketch/test/panda/11442.png,panda,panda,panda bear,drawing of a panda bear,how to draw a panda bear,by drawing a line on a white sheet of paper,"panda bear coloring pages, panda bear coloring pages, panda bear coloring pages, panda bear coloring pages, pand"
/content/Dataset_simple_sketch/test/panda/11497.png,panda,teddy-bear,teddy bear,drawing of a teddy bear,teddy bear,by drawing a teddy bear on a white sheet of paper,"teddy bears can be found on teddy bears, teddy bears, teddy bears"
/content/Dataset_simple_sketch/test/panda/11453.png,panda,panda,panda bear,a panda bear coloring page,how to draw a panda bear,draw a panda bear on a white sheet of paper,"on a t-shirt, on a shirt, on a shirt, on a shirt, on a shirt, on "
/content/Dataset_simple_sketch/test/panda/11464.png,panda,kangaroo,koala,koala koala koala koala koala koala,a kangaroo,it is typically obtained by drawing a picture of a kangaroo on a white sheet of paper,"a zoo, zoo, zoo, zoo, zoo, zo"
/content/Dataset_simple_sketch/test/panda/11474.png,panda,bear (animal),line drawing of a bear,a line drawing of a bear on a white background,a line drawing of a bear on a white background,by drawing a line on a white background,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/panda/11473.png,panda,panda,a teddy bear,free coloring pages for kids - free coloring pages for kids - free coloring pages for kids - free coloring pages for kids - free coloring,a teddy bear,it is typically obtained by drawing a picture of a panda on a white sheet of paper,"a teddy bear, teddy bear coloring pages, teddy bear coloring pages, teddy bear coloring"
/content/Dataset_simple_sketch/test/panda/11498.png,panda,teddy-bear,teddy bear,a teddy bear,a teddy bear,a child draws a picture of a teddy bear on a piece of paper,"a teddy bear can be found in a teddy bear shop, a toy store, a toy"
/content/Dataset_simple_sketch/test/panda/11505.png,panda,teddy-bear,a seal,a drawing of a seal on a white background,a drawing of a seal,it is typically obtained by drawing a picture of a seal on a piece of paper,"in a zoo, aquarium, zoo, zoo, zoo, zoo,"
/content/Dataset_simple_sketch/test/panda/11513.png,panda,panda,panda bear,a panda bear coloring page,how to draw a panda bear,a panda bear is drawn on a white background,panda bear coloring pages panda bear coloring pages panda bear coloring pages panda bear coloring pages panda bear coloring pages
/content/Dataset_simple_sketch/test/panda/11443.png,panda,panda,a panda bear,drawing of a panda bear,how to draw a panda bear,by drawing a panda bear on a white sheet of paper,"panda bear coloring pages, panda bear coloring pages, panda bear coloring pages, panda bear coloring pages, pand"
/content/Dataset_simple_sketch/test/panda/11445.png,panda,bear (animal),a panda bear,a drawing of a panda bear,a drawing of a panda,a child draws a picture of a panda bear on a piece of paper,"a child's drawing of a panda, a child's drawing of a panda, a child'"
/content/Dataset_simple_sketch/test/panda/11509.png,panda,teddy-bear,o - shape of the item,pokemon o coloring page,pokemon x and y,it is typically obtained by drawing a picture of a cat and putting it on a piece of paper,"a t-shirt, a hat, a shirt, a hat, a shirt, a shirt, "
/content/Dataset_simple_sketch/test/panda/11486.png,panda,kangaroo,kangaroo,drawing of a kangaroo,a drawing of a kangaroo,it is typically obtained by drawing a picture of a kangaroo on a piece of paper,common places where the item might be found or used
/content/Dataset_simple_sketch/test/panda/11460.png,panda,teddy-bear,o shape of the item is o shape of the item is o shape of the item is o shape of the item is o,letter o coloring page,a panda bear holding a letter o,It is typically obtained by a child's drawing of the letter o on a piece of paper,"a teddy bear, a teddy bear, a teddy bear, a teddy"
/content/Dataset_simple_sketch/test/panda/11466.png,panda,kangaroo,koala,drawing of a koala,koala,by drawing a picture of a koala on a piece of paper,a koala koala koala koala koala ko
/content/Dataset_simple_sketch/test/owl/11315.png,owl,owl,owl,owl coloring pages - owl coloring pages - owl coloring pages - owl coloring pages - ow,owl,It is typically obtained by drawing a picture of an owl on a white sheet of paper,"in a children's book, in a children's story, in a children's storybook, in a children'"
/content/Dataset_simple_sketch/test/owl/11320.png,owl,owl,owl,line drawing of an owl,a line drawing of an owl,by drawing a line on a white sheet of paper,"a teddy bear, a teddy bear doll, a teddy bear stuffed animal, a"
/content/Dataset_simple_sketch/test/owl/11322.png,owl,owl,owl,owl coloring page,how to draw an owl,It is typically obtained by drawing a picture of an owl on a piece of paper,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/owl/11303.png,owl,owl,owl,drawing of an owl - drawing of an owl - drawing of an owl - drawing of an owl,owl,it is typically obtained by drawing an owl on a white sheet of paper,"a t-shirt, a hat, a shirt, a hat, a shirt, a shirt, "
/content/Dataset_simple_sketch/test/owl/11312.png,owl,kangaroo,a bird,a drawing of a bird on a white background,how to draw a bird with a beak,it is typically obtained by drawing a bird with a pen and paper,"in a comic book, a comic strip, a comic book cover, a comic book cover, a comic cover, a"
/content/Dataset_simple_sketch/test/owl/11357.png,owl,owl,owl,a line drawing of an owl,a line drawing of an owl,by drawing a line on a white sheet of paper,"ipad, ipad mini, ipad pro, ipad air, ipad mini, ipad pro, "
/content/Dataset_simple_sketch/test/owl/11294.png,owl,owl,owl,drawing of an owl,owl owl owl owl owl owl owl owl owl owl,It is typically obtained by drawing a picture of an owl on a white sheet of paper,owl coloring pages owl coloring pages owl coloring pages owl coloring pages owl coloring pages owl coloring pages
/content/Dataset_simple_sketch/test/owl/11282.png,owl,owl,owl,drawing of an owl,owl owl owl owl owl owl owl owl owl owl,it is typically obtained by drawing a picture of an owl on a white sheet of paper,"on a t-shirt, on a shirt, on a shirt, on a shirt, on a shirt, on "
/content/Dataset_simple_sketch/test/owl/11313.png,owl,owl,owl,hoot owl t-shirt by hoot owl t-shirt's artist shop,hoot hoot hoot hoot hoot hoot hoot hoot hoot hoot,it is typically obtained by drawing a picture of an owl on a piece of paper,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/owl/11309.png,owl,owl,owl,drawing of an owl on a branch,owl,it is typically obtained by drawing a picture of an owl on a piece of paper,owls owls owls owls owls owls owls ow
/content/Dataset_simple_sketch/test/owl/11296.png,owl,owl,owl,drawing of an owl,a line drawing of an owl,by drawing a line on a white sheet of paper,"owls can be found in a variety of places, such as: owls can be found in a variety of places"
/content/Dataset_simple_sketch/test/owl/11285.png,owl,owl,owl,drawing of an owl on a branch,owl perched on a branch,it is typically obtained from a zoo or zoological society,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/owl/11289.png,owl,owl,owl,owl drawing - owl drawing - owl drawing - owl drawing - owl drawing -,owl owl owl owl owl owl owl owl owl owl,It is typically obtained by drawing a line on a piece of paper,owl coloring pages owl coloring pages owl coloring pages owl coloring pages owl coloring pages owl coloring pages
/content/Dataset_simple_sketch/test/owl/11328.png,owl,teddy-bear,octopus,drawing of an owl,how to draw an owl,it is typically obtained by drawing a line on a piece of paper,"in a comic book, in a comic book, in a comic book, in a comic book, in a comic book,"
/content/Dataset_simple_sketch/test/owl/11314.png,owl,owl,owl,owl drawing,owl,by drawing a picture of an owl on a white sheet of paper,tumblr tumblr tumblr tumblr tumblr tumblr
/content/Dataset_simple_sketch/test/owl/11349.png,owl,owl,owl,drawing of an owl - drawing of an owl - drawing of an owl - drawing of an owl,how to draw an owl,it is typically obtained by drawing an owl on a white sheet of paper,owl coloring pages owl coloring pages owl coloring pages owl coloring pages owl coloring pages owl coloring pages
/content/Dataset_simple_sketch/test/space shuttle/15803.png,space shuttle,kangaroo,eagle,a line drawing of a teddy bear in the shape of a teddy bear on a white background,how to make a teddy bear teddy bear teddy bear teddy bear teddy bear,it is typically obtained by drawing a line on a white sheet of paper,"airplanes, helicopters, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/space shuttle/15815.png,space shuttle,teddy-bear,a teddy bear's teddy bear's teddy bear's teddy bear's,a line drawing of a saber tooth tiger shark,a line drawing of a shark's snout,from a fossilized skeleton,"a rocket launcher, a rocket launcher, a rocket launcher, a rocket launcher, a rocket launcher,"
/content/Dataset_simple_sketch/test/space shuttle/15789.png,space shuttle,space shuttle,nasa space shuttle,nasa space shuttle drawing,nasa space shuttle,it is typically obtained from a nasa website,"space shuttles, space shuttles, space shuttles, space shuttles, space shuttles, space shuttles, space shuttles, space shuttle"
/content/Dataset_simple_sketch/test/space shuttle/15804.png,space shuttle,teddy-bear,a jet,black and white drawing of a jet fighter,how to use a line drawing to draw a plane,it is typically obtained by drawing a line on a white background,"airplanes, helicopters, airplanes, helicopters, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/space shuttle/15807.png,space shuttle,flying saucer,a line drawing of a plane,a line drawing of a plane on a white background,a line drawing of a plane on a white background,it is typically obtained by drawing a line on a white background,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/space shuttle/15766.png,space shuttle,kangaroo,a line drawing of a teddy bear,a line drawing of a dog,a line drawing of a teddy bear in the shape of a teddy bear on a white background,by drawing a line on a white background,"airplanes, trains, automobiles, airplanes, trains, automobiles, airplanes, trains, automobiles, automobiles, airplanes,"
/content/Dataset_simple_sketch/test/space shuttle/15828.png,space shuttle,castle,castle,a line drawing of a castle on a white background,a line drawing of a castle on top of a hill,by drawing a line on a white sheet of paper,"castles, forts, castles, forts, castles, forts, castles, forts, castles"
/content/Dataset_simple_sketch/test/space shuttle/15810.png,space shuttle,teddy-bear,octopus,drawing of a teddy bear - drawing of a teddy bear - drawing of a teddy,how to use a teddy bear coloring page,it is typically obtained from a sand dune or sand dune sand dune sand,"in the kitchen, in the bathroom, in the bedroom, in the living room, in the bedroom, in the living room, in the bedroom,"
/content/Dataset_simple_sketch/test/space shuttle/15825.png,space shuttle,teddy-bear,shape of the item. shape of the item. shape of the item. shape of the item. shape of the item. shape of the item.,a black and white drawing of a black and white drawing of a black and white drawing of a black and white drawing of a,how to draw a teddy bear,it is typically obtained by drawing a line on a white sheet of paper,"airplanes, spaceships, spaceships, spaceships, spaceships, spaceships, spaceships, spaceships"
/content/Dataset_simple_sketch/test/space shuttle/15765.png,space shuttle,space shuttle,space shuttle,line drawing of a space shuttle,space shuttle,by drawing a space shuttle on a white sheet of paper,"space shuttles, rockets, spaceships, spaceships, spaceships, spaceships, spaceships, spaceships"
/content/Dataset_simple_sketch/test/space shuttle/15764.png,space shuttle,teddy-bear,a line drawing of a rocket,a line drawing of a rocket,a line drawing of a rocket,it is typically obtained from a tattoo artist or tattoo parlour,"airplanes, spaceships, rockets, spaceships, rockets, rockets, rockets, rockets, rockets, rocket"
/content/Dataset_simple_sketch/test/space shuttle/15798.png,space shuttle,hat,"hat, hat, hat, hat, hat, hat, hat, hat, hat, hat,",toyota tacoma tacoma tacoma tacoma tacoma,a hat with a hat hat with a hat hat with a hat hat with a hat,it is typically obtained from a manufacturer's website,hats hats hats hats hats hats hats hats hats hats
/content/Dataset_simple_sketch/test/space shuttle/15834.png,space shuttle,teddy-bear,shape of the item,a line drawing of a mountain,a line drawing of a mountain,by drawing a line on a white sheet of paper,"a hotel room, a restaurant, a hotel room, a hotel room, a hotel room, a hotel room, "
/content/Dataset_simple_sketch/test/space shuttle/15814.png,space shuttle,teddy-bear,shape of the item vector illustration,a line drawing of a rocket,,it is typically obtained from a spacecraft,"airplanes, spaceships, rockets, spaceships, rockets, rockets, rockets, rockets, rockets, rocket"
/content/Dataset_simple_sketch/test/space shuttle/15838.png,space shuttle,flying saucer,a rocket,doodle drawing of a rocket ship,how to draw a rocket ship,it is typically obtained by drawing a line on a white background,"in a comic book, a comic strip, a comic strip, a comic strip, a comic strip, a comic strip"
/content/Dataset_simple_sketch/test/space shuttle/15799.png,space shuttle,shark,line drawing of a shark,a line drawing of a shark on a white background,a line drawing of a shark on a white background,by drawing a line on a white sheet of paper,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/cell phone/3945.png,cell phone,cell phone,a cell phone,a drawing of a cell phone with numbers on it,a cell phone,from a cell phone,"cell phones, calculators, calculators, calculators, calculators, calculators, calculators, calculators, calculators, calculators,"
