Path,Category,Can you describe the shape or form of the item?,What details become apparent upon closer inspection of the image?,What role does the item in the image serve?,How is the item typically obtained?,What are some common places where the item might be found or used?
/content/Dataset_simple_sketch/test/head/8098.png,head,a head with a hat,there is a hat on his head,hat,it is usually obtained from a tattoo artist or tattoo parlour,hats hats hats hats hats hats hats hats hats hats
/content/Dataset_simple_sketch/test/head/8108.png,head,a line drawing of a person's head,the person's head is tilted slightly to the right,a person's head,by drawing a line on a white sheet of paper,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/head/8142.png,head,a line drawing of a man's head,the head is tilted slightly to the right,a person's head,by drawing a line on a white sheet of paper,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/head/8147.png,head,a line drawing of a man's face,"the face has a slight smirk, and the eyes are slightly squinty",it is a person's face,by drawing a face on a piece of paper,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/head/8119.png,head,a man's face,"the face has a slight smirk, and the eyes are slightly squinty",it is a person's face,by drawing a face on a piece of paper,"in a comic book, in a comic strip, in a comic strip, in a comic strip, in a comic strip,"
/content/Dataset_simple_sketch/test/head/8150.png,head,a line drawing of a man's face,there is a slit in the middle of the face and a slit in the left side of the face,it is a drawing of a man's face,from a tattoo artist or tattoo parlour,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/head/8159.png,head,outline of a person's head,"the shape of the head, the shape of the face, the shape of the eyes, the shape of the nose, the shape of the mouth,",it is a person's head,from a person's head,"in a child's coloring book, in a child's storybook, in a children's storybook, in a"
/content/Dataset_simple_sketch/test/head/8136.png,head,a man's face,the face has a slight smirk and a slight smirk and a slight smirk and a slight,a person's face,from a tattoo parlour,"books, magazines, newspapers, websites, social media, etc"
/content/Dataset_simple_sketch/test/head/8146.png,head,face,there is a hat on his head and he has a smile on his face,it is a drawing of a person's face,it is a drawing of a man with a hat on,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/head/8109.png,head,a man's face,the face has a slight smirk and a slight smile,a person's face,from a tattoo artist or tattoo parlour,"books, magazines, newspapers, tv, computer"
/content/Dataset_simple_sketch/test/head/8131.png,head,a line drawing of a man's head,the person's head is tilted to the side and his eyes are closed,a person's head,by drawing a line on a white sheet of paper,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/ice-cream-cone/9034.png,ice-cream-cone,ice cream cone,the ice cream cone is shaped like a cone,an ice cream cone,from an ice cream shop,"ice cream shops, ice cream parlors, ice cream parlors, ice cream shops, ice cream parlors"
/content/Dataset_simple_sketch/test/ice-cream-cone/8974.png,ice-cream-cone,ice cream cone,the ice cream cone is shaped like a cone,ice cream cone,from an ice cream shop,"ice cream sundaes, ice cream sundaes, ice cream sundaes,"
/content/Dataset_simple_sketch/test/ice-cream-cone/8970.png,ice-cream-cone,ice cream cone,"the ice cream cone is shaped like an ice cream cone, and the ice cream cone is shaped like an ice cream cone",ice cream cone,from an ice cream shop,"ice cream parlors, ice cream parlors, ice cream parlors, ice cream parlors, ice"
/content/Dataset_simple_sketch/test/ice-cream-cone/8990.png,ice-cream-cone,ice cream cone,the ice cream cone is shaped like a cone,ice cream cone,from an ice cream shop,"ice cream parlors, ice cream parlors, ice cream parlors, ice cream parlors, ice"
/content/Dataset_simple_sketch/test/ice-cream-cone/8963.png,ice-cream-cone,shape or form of the item,the shape of the ice cream cone is shaped like an ice cream cone,shape of a country,it is usually obtained from a map of a country,"ice cream parlors, ice cream parlors, ice cream parlors, ice cream parlors, ice"
/content/Dataset_simple_sketch/test/ice-cream-cone/8965.png,ice-cream-cone,ice cream cone,the ice cream cone is shaped like a cone,ice cream cone,from an ice cream shop,"ice cream parlors, ice cream parlors, ice cream parlors, ice cream parlors, ice"
/content/Dataset_simple_sketch/test/ice-cream-cone/9018.png,ice-cream-cone,ice cream cone,the ice cream cone is shaped like a flower,ice cream cone,from an ice cream shop,"ice cream sundaes, ice cream sundaes, ice cream sundaes,"
/content/Dataset_simple_sketch/test/ice-cream-cone/8997.png,ice-cream-cone,ice cream cone,the ice cream cone is shaped like a cone,an ice cream cone,from an ice cream shop,"ice cream shop, ice cream shop, ice cream shop, ice cream shop, ice cream shop, ice cream shop,"
/content/Dataset_simple_sketch/test/ice-cream-cone/9030.png,ice-cream-cone,ice cream cone,the ice cream cone is shaped like a cone,ice cream cone,from an ice cream shop,"ice cream sundaes, ice cream sundaes, ice cream sundaes,"
/content/Dataset_simple_sketch/test/ice-cream-cone/8969.png,ice-cream-cone,cone,the shape of the cone is spherical,it is a cone shaped object,in the form of a cone,"sand dunes, sand pits, sand pits, sand pits, sand pits,"
/content/Dataset_simple_sketch/test/ice-cream-cone/8995.png,ice-cream-cone,ice cream cone,"the ice cream cone is shaped like an ice cream cone, and the ice cream cone is shaped like an ice cream cone",ice cream cone,from an ice cream shop,"ice cream shop, ice cream parlor, ice cream shop, ice cream shop, ice cream parlor, ice cream"
/content/Dataset_simple_sketch/test/ice-cream-cone/9011.png,ice-cream-cone,the shape of the item is a jellyfish,the shape of the ice cream cone,it is a food item,in the form of a jellyfish,ice cream parlors ice cream parlors ice cream parlors ice cream parlors ice cream parlors
/content/Dataset_simple_sketch/test/ice-cream-cone/9017.png,ice-cream-cone,ice cream cone,the ice cream cone is shaped like a cone,ice cream cone,from an ice cream shop,"ice cream parlors, ice cream parlors, ice cream parlors, ice cream parlors, ice"
/content/Dataset_simple_sketch/test/ice-cream-cone/9012.png,ice-cream-cone,ice cream cone,the ice cream cone is shaped like a cone,ice cream cone,from an ice cream shop,"ice cream sundaes, ice cream sundaes, ice cream sundaes,"
/content/Dataset_simple_sketch/test/ice-cream-cone/8983.png,ice-cream-cone,ice cream cone,the ice cream cone is shaped like a cone,ice cream cone,from an ice cream shop,"ice cream sundaes, ice cream sundaes, ice cream sundaes,"
/content/Dataset_simple_sketch/test/ice-cream-cone/9031.png,ice-cream-cone,acorn,"the acorn is shaped like an acorn, and the nut is shaped like an acorn",acorn,from acorns,"acorns can be found in acorns, acorns, acorns, acorns, a"
/content/Dataset_simple_sketch/test/boomerang/2122.png,boomerang,the shape of the item is a curved line,the shape of the snout and the shape of the snout's tip,it is a drawing of a curved line,in the form of a teddy bear or teddy bear teddy bear teddy bear te,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/boomerang/2114.png,boomerang,a line drawing of a person's arm,the shape of the knuckle and the shape of the knuckles,a part of a human body,from a local auto parts store,"a car, truck, motorcycle, boat, or airplane"
/content/Dataset_simple_sketch/test/boomerang/2146.png,boomerang,a line drawing of a curved shape,"the shape of the headlights, the shape of the hood, and the shape of the taillights",a part of a human body,from the manufacturer,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/boomerang/2121.png,boomerang,curved,the shape of the curved part of the car,a part of a vehicle,from a toyota dealer,"ford f-150, f-250, f-350, f-450, f-550, f-"
/content/Dataset_simple_sketch/test/boomerang/2139.png,boomerang,the shape of the item is a curved line,there is a curved line in the middle of the image,it is a utensil or utensil utensil utensil utensil,it is usually obtained from a fisherman's net,"kitchen, bathroom, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware"
/content/Dataset_simple_sketch/test/boomerang/2109.png,boomerang,the shape of the item is a spherical shape,the shape of the toes and the shape of the heel,a part of a shoe,from a shoemaker,"shoes, boots, shoes, boots, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes,"
/content/Dataset_simple_sketch/test/boomerang/2106.png,boomerang,the shape of the item is a curved line,the shape of the curved line,it is a drawing of a curved line on a white background,it is typically obtained from a teddy bear,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/boomerang/2144.png,boomerang,the shape of the item is a triangle,the shape of the teeth and the shape of the gums,as a guide for a person to draw a line on a piece of paper,from a dentist's office,"dental office, dentist's office, dentist's office, dentist's office, dentist's office, dentist's office, dentist'"
/content/Dataset_simple_sketch/test/boomerang/2095.png,boomerang,a line drawing of a curved arrow,the shape of the arrow is curved,a part of a vehicle,from a local auto parts store,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, kitchen, bathroom, bedroom, living room, bedroom, living room"
/content/Dataset_simple_sketch/test/boomerang/2087.png,boomerang,the shape of the item is a curved line,the shape of the worm's body and the shape of the worm's head,it is a drawing of a worm,from a syringe or a syringe syringe syringe syring,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/boomerang/2115.png,boomerang,the shape of the item is a curved line,the shape of the body is a curved line,it is a line drawing of a curved line,it is usually obtained from a tattoo artist or a tattoo parlour,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/boomerang/2129.png,boomerang,shape of the item,the number seven is drawn in the shape of a triangle,the number seven,it is typically obtained as a gift for a friend or family member,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/boomerang/2154.png,boomerang,the shape of the item is a curved line,the shape of the eagle's head and the shape of the eagle's tail,it is a drawing of a curved line on a white background,in the form of a teddy bear,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/boomerang/2124.png,boomerang,the shape of the item is a shark's snout,the shape of the shark's teeth,it is the shape of a shark's snout,from a shark's gills,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/boomerang/2138.png,boomerang,arrow,the shape of the arrow is shaped like an arrowhead,it is a line drawing of an arrow,from the manufacturer,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/boomerang/2082.png,boomerang,a line drawing of a curved line on a white background,the outline of a curved line,it is a line drawing of a curved line on a white background,it is typically obtained from a t-shirt,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/strawberry/16449.png,strawberry,the shape of the item is a strawberry,the shape of the strawberry is oblong in shape,it is a fruit,from a farmer's market,"in a coloring book, in a coloring book, in a coloring book, in a coloring book, in a coloring book,"
/content/Dataset_simple_sketch/test/strawberry/16426.png,strawberry,the shape of the item is a strawberry,the shape of the strawberry is shaped like a heart,as a symbol for the state of california,from a farmer's market,"grocery stores, ice cream parlors, ice cream parlors, ice cream parlors, ice cream parlors"
/content/Dataset_simple_sketch/test/strawberry/16401.png,strawberry,the shape of the item is a strawberry,the shape of the strawberry is oblong in shape,fruit coloring page,from a farmer's market,"in a coloring book, in a coloring book, in a coloring book, in a coloring book, in a coloring book,"
/content/Dataset_simple_sketch/test/strawberry/16439.png,strawberry,a strawberry,the strawberry is shaped like a strawberry,it is a fruit,from a farmer's market,"on a plate, in a bowl, on a plate, on a plate, on a plate, on a plate,"
/content/Dataset_simple_sketch/test/strawberry/16480.png,strawberry,apple,"the shape of the apple is oblong, and the shape of the leaf is oblong",it is a fruit,from a farmer's market,"on a t-shirt, on a shirt, on a shirt, on a shirt, on a shirt, on "
/content/Dataset_simple_sketch/test/strawberry/16430.png,strawberry,heart shaped strawberry,the shape of the strawberry is a heart shape,a fruit or vegetable,from a farmer's market,"in a valentine's day card, a birthday card, a wedding card, or a thank you card"
/content/Dataset_simple_sketch/test/strawberry/16433.png,strawberry,heart,the shape of the heart is shaped like a heart,a fruit or vegetable,from a farmer's market,"in a valentine's day card, valentine's day card, valentine's day card, valentine"
/content/Dataset_simple_sketch/test/strawberry/16464.png,strawberry,a strawberry,the shape of the strawberry is symmetrical,it is a fruit,from a farmer's market,"in the kitchen, on a plate, on a plate, on a plate, on a plate, on a plate, on"
/content/Dataset_simple_sketch/test/strawberry/16445.png,strawberry,the shape of the item is a cuboid,"the shape of the apple is oblong, the shape of the apple is oblong, and the shape of the apple is ",it is a piece of fruit,from a farmer's market,"fruit bowls, fruit bowls, fruit bowls, fruit bowls, fruit bowls, fruit bowls, fruit bowls, fruit bowl"
/content/Dataset_simple_sketch/test/strawberry/16447.png,strawberry,the shape of the item is a strawberry,the shape of the strawberry is oblong in shape,it is a fruit,from a farmer's market,"grocery stores, supermarkets, ice cream parlours, ice cream parlours, ice cream parlours,"
/content/Dataset_simple_sketch/test/strawberry/16442.png,strawberry,the shape of the item is a strawberry,the shape of the strawberry,it is a fruit,from a farmer's market,"in the kitchen, on a plate, in a bowl, on a plate, on a plate, on a plate, on"
/content/Dataset_simple_sketch/test/strawberry/16466.png,strawberry,the shape of the item is a strawberry,the shape of the strawberry is oblong with a pointed tip,it is a fruit,from a farmer's market,"grocery stores, restaurants, cafeterias, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/strawberry/16422.png,strawberry,heart,the strawberry is shaped like a heart,as a symbol of love,from a farmer's market,"in a valentine's day card, valentine's day card, valentine's day card, valentine"
/content/Dataset_simple_sketch/test/strawberry/16458.png,strawberry,a strawberry,the shape of the strawberry is oblong in shape,it is a fruit,from a farmer's market,"in a coloring book, in a coloring book, in a coloring book, in a coloring book, in a coloring book,"
/content/Dataset_simple_sketch/test/strawberry/16443.png,strawberry,a strawberry,the shape of the strawberry is oblong in shape,it is a fruit,from a farmer's market,"in a coloring book, in a coloring book, in a coloring book, in a coloring book, in a coloring book,"
/content/Dataset_simple_sketch/test/strawberry/16417.png,strawberry,a strawberry,the shape of the strawberry is a heart shape,it is a fruit,from a farmer's market,"in a fruit salad, on a plate, in a sandwich, on a plate, in a sandwich, on a plate"
/content/Dataset_simple_sketch/test/table/17228.png,table,a line drawing of a tarp,the shape of the awning is a rectangle,it is a tarp,from a hardware store,"kitchen, dining room, living room, bedroom, bathroom, kitchen, dining room, living room, bedroom, living room, bedroom, living room,"
/content/Dataset_simple_sketch/test/table/17236.png,table,a line drawing of a table,the table is a rectangle with a rounded top and a rounded bottom,a table,from a furniture store,"kitchen, dining room, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom"
/content/Dataset_simple_sketch/test/table/17264.png,table,oblong,the chair is made of plastic,a chair,from a furniture store,"kitchen, dining room, living room, bedroom, bathroom"
/content/Dataset_simple_sketch/test/table/17273.png,table,the shape of the item is a rectangle,the shape of the slats and the shape of the back of the slats,a chair,from a furniture store,"bedroom, living room, dining room, bedroom, living room, bedroom, living room, bedroom, living room, bedroom, living room, bedroom,"
/content/Dataset_simple_sketch/test/table/17247.png,table,the shape of the item is a spherical shape,there is a slit in the middle of the image and a slit in the middle of the image,it is a part of a structure,it is typically obtained from a person who is a member of a religious group,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/table/17272.png,table,rectilinear rectilinear rectilinear rectilinear rectilinear rectilinear,the shape of the table is a rectangle,a table,from a furniture store,"kitchen, dining room, living room, bedroom"
/content/Dataset_simple_sketch/test/table/17234.png,table,a slatted bench,the shape of the table is a rectangle with a rounded edge,a seat,from a furniture store,"kitchen, dining room, living room, bedroom, bathroom"
/content/Dataset_simple_sketch/test/table/17204.png,table,a rectangular table,the table is a rectangle with a square top,a table,from a furniture store,"classrooms, offices, cafeterias, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/table/17227.png,table,a rectangular table,the table is made of wood,a dining table,from a furniture store,"kitchen, dining room, living room"
/content/Dataset_simple_sketch/test/table/17243.png,table,the shape of the item is a triangle,there is a slit in the middle of the sleeve,it is a hat,it is typically obtained from a teddy bear,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/table/17221.png,table,a line drawing of a bench,the drawing is a single line drawing of a wooden bench,a bench,from a furniture store,"kitchen, dining room, living room, bedroom, bathroom"
/content/Dataset_simple_sketch/test/table/17255.png,table,a line drawing of a table,the shape of the table is a rectangle with a rounded edge,it is a chair,from a furniture store,"kitchen, dining room, living room, bedroom, bathroom"
/content/Dataset_simple_sketch/test/table/17267.png,table,a line drawing of a table,the shape of the table is a rectangle with a rounded edge,it is a piece of furniture,from a taiwanese taiwanese taiwanese ta,"kitchen, dining room, living room, bedroom, bathroom"
/content/Dataset_simple_sketch/test/table/17232.png,table,table,the table has a rounded top and a rounded bottom,a table,from a furniture store,"kitchen, dining room, living room"
/content/Dataset_simple_sketch/test/table/17241.png,table,a line drawing of a table,the table is made of a single piece of wood,a table,from a furniture store,"kitchen, dining room, living room, bedroom"
/content/Dataset_simple_sketch/test/table/17206.png,table,a slatted table,it is a single line drawing of a table,a piece of furniture,from a scrap piece of wood,"kitchen, dining room, living room, bedroom"
/content/Dataset_simple_sketch/test/train/18513.png,train,a drawing of a train on a white background,the train is drawn with a pen and ink on a white background,a train,from a train station,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/train/18492.png,train,a doodle of a train on a white background,the train is moving at a very fast speed,a train,from a train station,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/train/18505.png,train,the item is shaped like a train,the train is drawn in black and white,it is a drawing of a train,from a child's drawing of a train on a white sheet of paper,"children's books, coloring books, coloring pages, coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring"
/content/Dataset_simple_sketch/test/train/18507.png,train,a line drawing of a train on a white background,the train is a steam locomotive,a character in a story,from a train station,"trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains,"
/content/Dataset_simple_sketch/test/train/18496.png,train,a line drawing of a boat,it is a single line drawing of a boat on a white background,a boat,from a shipyard,"on a boat, on a boat, on a boat, on a boat, on a boat, on a boat,"
/content/Dataset_simple_sketch/test/train/18484.png,train,line drawing of a train,the train is moving at a very fast speed,a train,from a train station,"train station, train station, train station, train station, train station, train station, train station, train station, train station, train station,"
/content/Dataset_simple_sketch/test/train/18523.png,train,a line drawing of a train on a white background,"there is a train on the right side of the image, and there is a train on the left side of the image",it is a train,from a train station,"trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains,"
/content/Dataset_simple_sketch/test/train/18502.png,train,doodle drawing of a train on a white background,there is a train on a white background,a toy,from a toy store,"children's books, coloring books, coloring pages, coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring"
/content/Dataset_simple_sketch/test/train/18537.png,train,a train,there is a train on the tracks,a train,from a train station,"a train station, a train station, a train station, a train station, a train station, a train station,"
/content/Dataset_simple_sketch/test/train/18527.png,train,a drawing of a train on a white background,the train is drawn in black and white,child's toy,from a child's drawing of a train on a white background,"children's books, children's books, children's books, children's books, children's books, children's books,"
/content/Dataset_simple_sketch/test/train/18490.png,train,a line drawing of a train on a white background,the train is a one-line drawing of a train on a white background,a train,from a train station,"trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains,"
/content/Dataset_simple_sketch/test/train/18491.png,train,the item is shaped like a train,the drawing is a simple line drawing of a toy train on a white background,a toy,from a toy store,"children's books, coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring"
/content/Dataset_simple_sketch/test/train/18518.png,train,a train,the two trains are connected by a bridge,a train,from a train station,"trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains,"
/content/Dataset_simple_sketch/test/train/18548.png,train,a doodle drawing of a train on a white background,"there is a train on the left side of the image, and there is a train on the right side of the image",it is a train,from a child's imagination,"children's books, children's books, children's books, children's books, children's books, children's books,"
/content/Dataset_simple_sketch/test/train/18560.png,train,a line drawing of a train on a white background,the train is drawn in black and white,a train,from a train station,"trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains, trains,"
/content/Dataset_simple_sketch/test/train/18514.png,train,a drawing of a train on a white background,the train is a steam locomotive with a smokestack,a toy,from a toy store,"toy stores, toy stores, toy stores, toy stores, toy stores, toy stores, toy stores, toy"
/content/Dataset_simple_sketch/test/computer monitor/4497.png,computer monitor,a computer monitor,the monitor has a black screen and a white screen,computer monitor,from a computer manufacturer,"desktop computers, laptops, tablets, and smartphones"
/content/Dataset_simple_sketch/test/computer monitor/4492.png,computer monitor,a computer monitor,the monitor has a screen and a keyboard,computer monitor,from a computer manufacturer,"desktop computers, laptops, tablets, and smartphones"
/content/Dataset_simple_sketch/test/computer monitor/4542.png,computer monitor,tv tv tv tv tv tv tv tv tv tv,there is a screen on the left side of the screen,it is a television,from a tv store,"kitchen, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/computer monitor/4535.png,computer monitor,the item is shaped like a rectangle,the shape of the monitor is a rectangle with a rounded edge,it is a monitor,from a computer manufacturer,"desktops, laptops, and tablets"
/content/Dataset_simple_sketch/test/computer monitor/4505.png,computer monitor,a tv screen,the monitor has a black screen and a white screen,tv screen,from a computer manufacturer,"televisions, computer monitors, televisions, televisions, televisions, televisions, televisions, televisions, televisions, televisions"
/content/Dataset_simple_sketch/test/computer monitor/4547.png,computer monitor,two people standing in front of a monitor,two people are standing in front of a monitor,it's a monitor,from a hardware store,"desktop computer, laptop computer, desktop computer, desktop computer, desktop computer, desktop computer, desktop computer, desktop computer, desktop computer, desktop computer,"
/content/Dataset_simple_sketch/test/computer monitor/4501.png,computer monitor,the shape of the item is oblong,there is a slit in the middle of the screen and a slit in the middle of the screen,it's a tv remote,it is typically obtained from a telecommunications company,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/computer monitor/4522.png,computer monitor,a computer monitor,the monitor has a screen and a keyboard,computer monitor,from a computer store,"desktop computer, laptop computer, desktop computer, desktop computer, desktop computer, desktop computer, desktop computer, desktop computer, desktop computer, desktop computer,"
/content/Dataset_simple_sketch/test/computer monitor/4550.png,computer monitor,a rectangle with a circle in the middle,there is a circle in the middle of the screen,it is a tv screen,it is typically obtained from a telecommunications company,"a computer screen, a television screen, a computer mouse, a keyboard, a mousepad, a keyboard, a"
/content/Dataset_simple_sketch/test/computer monitor/4490.png,computer monitor,a tv screen,the monitor has a black screen and a white screen,a monitor,from a computer manufacturer,"televisions, computer monitors, televisions, televisions, televisions, televisions, televisions, televisions, televisions, televisions"
/content/Dataset_simple_sketch/test/computer monitor/4556.png,computer monitor,the shape of the item is a rectangle,the shape of the screen is a rectangle,it is a television,from a telecommunications company,"televisions, computer monitors, tv sets"
/content/Dataset_simple_sketch/test/computer monitor/4508.png,computer monitor,a line drawing of a computer screen,the monitor has a screen and a keyboard,computer monitor,from a computer manufacturer,"desktop computer, laptop computer, tablet computer"
/content/Dataset_simple_sketch/test/computer monitor/4513.png,computer monitor,a line drawing of a computer monitor,the monitor has a screen and a keyboard,computer monitor,from a computer manufacturer,"desktop computer, laptop computer, tablet computer, desktop computer, laptop computer, desktop computer, desktop computer, desktop computer, desktop computer, desktop computer,"
/content/Dataset_simple_sketch/test/computer monitor/4481.png,computer monitor,shape of the item is square,"the shape of the object is a rectangle, and the shape of the object is a square",it is a drawing of a computer screen,it is typically obtained from a museum or art gallery,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/computer monitor/4559.png,computer monitor,the item is shaped like a computer screen,the monitor has a screen and a keyboard,computer monitor,from a computer manufacturer,"desktop computer, laptop computer, tablet computer, ipad, ipod, ipod touch, ipad mini, ipad"
/content/Dataset_simple_sketch/test/computer monitor/4538.png,computer monitor,a tv screen,the monitor has a screen and a keyboard,computer monitor,from a computer manufacturer,"desktop computers, laptops, tablets, cell phones, ipads, ipods, mp3 players, tvs"
/content/Dataset_simple_sketch/test/hot air balloon/8596.png,hot air balloon,the item is shaped like a hat,there is a hat on the person's head and a hat on the person's head and a hat on the,it is a hat,it is typically obtained as a gift from a friend or family member,"hats, hats, hats, hats, hats, hats, hats, hat"
/content/Dataset_simple_sketch/test/hot air balloon/8588.png,hot air balloon,a hot air balloon,there is a hot air balloon in the background,a hot air balloon,from a hot air balloon,"a hot air balloon, a hot air balloon, a hot air balloon, a hot air balloon, a hot air balloon,"
/content/Dataset_simple_sketch/test/hot air balloon/8574.png,hot air balloon,a hot air balloon,the outline of a hot air balloon,it is a hot air balloon,from a hot air balloon,"hot air balloons, hot air balloons, hot air balloons, hot air balloons, hot air balloons, hot air balloons,"
/content/Dataset_simple_sketch/test/hot air balloon/8616.png,hot air balloon,a hot air balloon,there is a hot air balloon in the background,a hot air balloon,from a hot air balloon,a hot air balloon is a hot air balloon is a hot air balloon is a hot air balloon is a hot air balloon is
/content/Dataset_simple_sketch/test/hot air balloon/8630.png,hot air balloon,a hot air balloon,the shape of the hot air balloon,a hot air balloon,from a hot air balloon,a hot air balloon
/content/Dataset_simple_sketch/test/hot air balloon/8568.png,hot air balloon,a hot air balloon,there is a person inside the hot air balloon,a hot air balloon,in the form of a hot air balloon,"a hot air balloon, a hot air balloon, a hot air balloon, a hot air balloon, a hot air balloon,"
/content/Dataset_simple_sketch/test/hot air balloon/8620.png,hot air balloon,a hot air balloon,there is a hot air balloon in the background,a hot air balloon,from a hot air balloon,"airplanes, hot air balloons, hot air balloons, hot air balloons, hot air balloons, hot air balloons, hot air"
/content/Dataset_simple_sketch/test/hot air balloon/8585.png,hot air balloon,a hot air balloon,there is a hot air balloon in the background,a hot air balloon,from a hot air balloon,"airplanes, hot air balloons, hot air balloons, hot air balloons, hot air balloons, hot air balloons, hot air"
/content/Dataset_simple_sketch/test/hot air balloon/8562.png,hot air balloon,a line drawing of a hot air balloon,the shape of the hot air balloon,it is a hot air balloon,from a hot air balloon,"hot air balloons, hot air balloons, hot air balloons, hot air balloons, hot air balloons, hot air balloons,"
/content/Dataset_simple_sketch/test/hot air balloon/8610.png,hot air balloon,light bulb,the light bulb has a spherical shape,a light bulb,a light bulb is a device that converts electrical energy into light energy,"a light bulb can be found in a lamp, a candle, a candlestick, a candlestick holder, a"
/content/Dataset_simple_sketch/test/hot air balloon/8606.png,hot air balloon,the shape of the item is spherical,the shape of the object is a spherical object with a spherical top and a spher,it's a spherical object,it is typically obtained from a taiwanese taiwanese taiwanes,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/hot air balloon/8619.png,hot air balloon,a hot air balloon,the shape of the hot air balloon,a hot air balloon,from a hot air balloon,a hot air balloon is a balloon that has been filled with gas and inflated
/content/Dataset_simple_sketch/test/hot air balloon/8617.png,hot air balloon,a hot air balloon,the hot air balloon has a hat on it,a hot air balloon,from a hot air balloon,a hot air balloon
