Path,Category,Prediction,Can you describe the shape or form of the item?,What details become apparent upon closer inspection of the image?,What role does the item in the image serve?,How is the item typically obtained?,What are some common places where the item might be found or used?
/content/Dataset_simple_sketch/test/tomato/18137.png,tomato,apple,apple,"the shape of the apple, the color of the apple, and the size of the apple",it is a fruit,from a farmer's market,"apple sauce, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie, apple pie,"
/content/Dataset_simple_sketch/test/tomato/18157.png,tomato,orange,the shape of the item is oblong,the shape of the fruit,it is a fruit,from a farmer's market,"in a fruit salad, in a sandwich, on a sandwich, in a sandwich, on a sandwich, on a sandwich"
/content/Dataset_simple_sketch/test/teapot/17454.png,teapot,teapot,a teapot,the teapot has a spout and a handle,it is a teapot,from a teapot,"in a kitchen, in a bathroom, in a bedroom, in a living room, in a bedroom, in a bathroom"
/content/Dataset_simple_sketch/test/teapot/17512.png,teapot,teapot,teapot,the teapot has a spout and a handle,it is a teapot,from a teapot,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom"
/content/Dataset_simple_sketch/test/teapot/17495.png,teapot,a pipe,a single line drawing of a pipe,"the pipe has a handle and a spout, and the pipe has a handle and a spout",a teapot,from a chemist or chemist's shop,"kitchen, bathroom, bedroom, living room, bedroom, living room, kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom,"
/content/Dataset_simple_sketch/test/teapot/17509.png,teapot,teapot,teapot,the teapot has a handle and a spout,a teapot,from a teapot,"a teapot can be found in a kitchen, in a bathroom, in a bedroom, in a living room, in "
/content/Dataset_simple_sketch/test/teapot/17505.png,teapot,teapot,the shape of the item is a teapot,the teapot is shaped like a teapot with a spout and a handle,it is a teapot,from a teapot,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/teapot/17497.png,teapot,a teddy bear,the shape of the item is a spherical shape,there is a spherical object in the middle of the image and a spherical object in the middle of the,it is a boat,it is typically obtained by a scuba diver or a scuba diver with a scuba diving license,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/teapot/17517.png,teapot,teapot,teapot,the teapot has a spout and a handle,teapot,from a teapot,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom"
/content/Dataset_simple_sketch/test/teapot/17476.png,teapot,teapot,the shape of the item is a teapot,"the shape of the teapot is spherical, with a spherical top and a spherical",it is a teapot,from a teapot,"in a kitchen, in a bathroom, in a bedroom, in a living room, in a bedroom, in a bathroom"
/content/Dataset_simple_sketch/test/teapot/17461.png,teapot,teapot,teapot,the teapot has a handle and a spout,a teapot,from a teapot,"a teapot can be found in a kitchen, in a bathroom, in a bedroom, in a living room, in "
/content/Dataset_simple_sketch/test/teapot/17507.png,teapot,mug,a vase with a pencil,the drawing is a single line drawing of a vase and a pencil,it is a cup and a pencil,from a craft store,"in a pencil case, in a pencil case, in a pencil case, in a pencil case, in a pencil case,"
/content/Dataset_simple_sketch/test/teapot/17443.png,teapot,teapot,a teapot,the teapot has a handle and a spout,it is a teapot,from a tea shop,"in a kitchen, in a bathroom, in a bedroom, in a living room, in a bedroom, in a bathroom"
/content/Dataset_simple_sketch/test/teapot/17464.png,teapot,teapot,teapot,the teapot has a spout and a handle,it is a teapot,from a teapot,"in a kitchen, in a bathroom, in a bedroom, in a living room, in a bedroom, in a bathroom"
/content/Dataset_simple_sketch/test/teapot/17475.png,teapot,teapot,a teapot,the teapot has a handle and a spout,a teapot,from a teapot,"a teapot can be found in a kitchen, in a bathroom, in a bedroom, in a living room, in "
/content/Dataset_simple_sketch/test/teapot/17445.png,teapot,teapot,teapot,the teapot has a handle and a spout,it is a teapot,from a teapot,"in a kitchen, in a bathroom, in a bedroom, in a living room, in a bedroom, in a bathroom"
/content/Dataset_simple_sketch/test/teapot/17503.png,teapot,teapot,teapot,the teapot has a handle and a spout,a teapot,from a teapot,"in a kitchen, in a bathroom, in a bedroom, in a living room, in a bedroom, in a bathroom"
/content/Dataset_simple_sketch/test/teapot/17488.png,teapot,a teddy bear,the shape of the item is a circle,the outline of a snake is drawn on a white background,it is a line drawing of a snake,"it is typically obtained from a zoo, aquarium, or zoo zoo","kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/trumpet/18881.png,trumpet,a hat,a single line drawing of a teddy bear shaped like a teddy bear,the image is a continuous line drawing of a hand holding a syringe,it is a line drawing of a teddy bear,it is typically obtained from a taiwanese taiwanese taiwanes,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/trumpet/18936.png,trumpet,a saxophone,a line drawing of a line drawing of a line drawing of a line drawing of a line drawing of a line drawing of,the drawing is a single line drawing of a syringe with a syringe attached to it,it is a line drawing of a line drawing of a line drawing of a line drawing of a line drawing of a line,it is typically obtained from a taiwanese taiwanese taiwanes,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/trumpet/18912.png,trumpet,horn,saxophone,the instrument is a trumpet,a musical instrument,from a musical instrument store,"a concert hall, a concert hall, a concert hall, a concert hall, a concert hall, a concert hall,"
/content/Dataset_simple_sketch/test/trumpet/18883.png,trumpet,trumpet,a line drawing of a trumpet on a white background,the instrument is a trumpet,a musical instrument,from a music store,"in a band, in a marching band, in a marching band, in a marching band, in a march"
/content/Dataset_simple_sketch/test/trumpet/18958.png,trumpet,horn,saxophone,the horn is shaped like a trumpet,a musical instrument,from a musical instrument store,"saxophones, trumpets, trombones, oboes, clarinets, horns"
/content/Dataset_simple_sketch/test/trumpet/18921.png,trumpet,saxophone,a single line drawing of a saxophone,a single line drawing of a saxophone,a musical instrument,from a saxophone saxophone saxophone saxophone sa,"kitchen, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchenware, kitchen"
/content/Dataset_simple_sketch/test/trumpet/18895.png,trumpet,saxophone,a line drawing of a saxophone,"there is a slit in the middle of the drawing, and a slit in the middle of the drawing there is a",a musical instrument,it is typically obtained from a saxophone,"airplanes, helicopters, boats, airplanes, helicopters, boats, airplanes, helicopters, boats, airplanes, helicopters,"
/content/Dataset_simple_sketch/test/trumpet/18911.png,trumpet,trumpet,a trumpet,the instrument is a trumpet,a musical instrument,from a music store,"in a school band, in a marching band, in a marching band, in a marching band, in a"
/content/Dataset_simple_sketch/test/trumpet/18938.png,trumpet,a snail,the shape of the item is a spiral,the shape of the snail's shell and the shape of the snail's head,it is a drawing of a snail,from a snail's shell,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/trumpet/18914.png,trumpet,horn,the shape of the item is a trumpet,the horn is shaped like a trumpet,a musical instrument,from a music store,"in a band, in a marching band, in a marching band, in a marching band, in a march"
/content/Dataset_simple_sketch/test/trumpet/18923.png,trumpet,trumpet,the shape of the item is a trumpet,the trumpet is shaped like a trumpet,a musical instrument,from a musical instrument store,"a concert hall, a concert hall, a concert hall, a concert hall, a concert hall, a concert hall,"
/content/Dataset_simple_sketch/test/trumpet/18939.png,trumpet,horn,a continuous line drawing of a horn,a single line drawing of a horn,a musical instrument,from a musical instrument store,"symphony orchestras, concert halls, opera houses, concert halls, concert halls, opera houses, concert halls"
/content/Dataset_simple_sketch/test/trumpet/18907.png,trumpet,saxophone,saxophone saxophone saxophone saxophone saxophone,the horn is shaped like a saxophone,saxophone saxophone saxophone saxophone saxophone,from a saxophone,"saxophones, horns, trumpets, trombones, saxophones, trumpets,"
/content/Dataset_simple_sketch/test/trumpet/18916.png,trumpet,trumpet,a line drawing of a trumpet,the instrument is a trumpet,a musical instrument,from a music store,"in a band, in a marching band, in a marching band, in a marching band, in a march"
/content/Dataset_simple_sketch/test/trumpet/18948.png,trumpet,horn,the item is shaped like a trumpet,the horn is shaped like a trumpet,a musical instrument,from a musical instrument store,"in a symphony orchestra, in a jazz band, in a marching band, in a marching band"
/content/Dataset_simple_sketch/test/trumpet/18952.png,trumpet,trumpet,a single line drawing of a trumpet,the trumpet is shaped like a trumpet,a musical instrument,from a music store,"a concert hall, a concert hall, a concert hall, a concert hall, a concert hall, a concert hall,"
/content/Dataset_simple_sketch/test/shoe/14973.png,shoe,shoe,shoe,"the shoe has a heel and a toe, as well as a heel and a toe, as well as a heel",it is a shoe,from a shoe store,shoelaces shoelaces shoelaces shoelaces shoelaces shoelaces shoelaces shoelaces shoelaces shoelaces
/content/Dataset_simple_sketch/test/shoe/15013.png,shoe,shoe,a line drawing of a shoe,the shoe has a heel and a toe,a shoe,from a shoemaker,"shoe store, shoe repair shop, shoe repair shop, shoe repair shop, shoe repair shop, shoe repair shop, shoe repair shop, shoe repair shop"
/content/Dataset_simple_sketch/test/shoe/14983.png,shoe,shoe,a line drawing of a shoe,the shape of the shoe's heel and the shape of the shoe's toes,a shoe,from a shoe store,"shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores,"
/content/Dataset_simple_sketch/test/shoe/14984.png,shoe,shoe,a line drawing of a shoe,"the shoe has a heel and a toe, as well as a heel and a toe, as well as a heel",a shoe,from a shoemaker,"shoe store, shoe repair shop, shoe repair shop, shoe repair shop, shoe repair shop, shoe repair shop, shoe repair shop, shoe repair shop"
/content/Dataset_simple_sketch/test/shoe/14991.png,shoe,shoe,the shape of the item is a shoe,the shoe has a heel and a toe,a shoe,from a shoe store,"shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store,"
/content/Dataset_simple_sketch/test/shoe/15019.png,shoe,a teddy bear,the shape of the item is a line drawing,"the outlines of the body are drawn in a straight line, and the outlines of the legs are drawn in a curved line",it is a line drawing of a person's body,it is typically obtained from a person's own body,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/shoe/15016.png,shoe,shoe,a single line drawing of a shoe,"the shoe has a heel and a toe, and the shoe has a heel and a toe, and the shoe has ",a shoe,from a shoe store,"shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store,"
/content/Dataset_simple_sketch/test/shoe/14961.png,shoe,shoe,a line drawing of a shoe,the shoe has a heel and a toe,shoe,from a shoe store,"shoe store, shoe repair shop, shoe repair shop, shoe repair shop, shoe repair shop, shoe repair shop, shoe repair shop, shoe repair shop"
/content/Dataset_simple_sketch/test/shoe/15005.png,shoe,a teddy bear,the shape of the item is a line drawing,the shape of the thoracic vertebrae and the shape of the thoracic spondylolisthesis,it is a part of the human body,from a veterinary surgeon,"a dog's ear, a cat's ear, a dog's ear, a cat's "
/content/Dataset_simple_sketch/test/shoe/15027.png,shoe,shoe,the shape of the item is oblong,the shoe has a heel and a toe,a shoe,from a shoemaker,"shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store,"
/content/Dataset_simple_sketch/test/shoe/15034.png,shoe,high heeled shoe,high heeled shoe,the shoe has a high heel and a pointed toe,is a high heeled shoe,from a shoe store,"shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores,"
/content/Dataset_simple_sketch/test/shoe/15028.png,shoe,shoe,a pair of shoes,"the shoe has a heel and a toe, as well as a heel and a toe, as well as a heel",a shoe,from a shoe store,"shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store,"
/content/Dataset_simple_sketch/test/shoe/15031.png,shoe,shoe,line drawing of a shoe,"the shoe has a heel and a toe, as well as a heel and a toe",a shoe,from a shoe store,"shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores, shoe stores,"
/content/Dataset_simple_sketch/test/shoe/14979.png,shoe,shoe,a line drawing of a shoe,the shoe has a laces and a heel,a shoe,from a shoe store,"shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store, shoe store,"
/content/Dataset_simple_sketch/test/shoe/14962.png,shoe,a chair,a single line drawing of a person sitting in a chair,the drawing is a one-line drawing of a person sitting in a chair,it's a chair,it is usually obtained from a pawn shop,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/shoe/14975.png,shoe,toyota,a line drawing of a shoe,"the shoe has a heel and a toe, as well as a heel and a toe",a toyota tacoma tacoma tacoma tacoma ta,from the original equipment manufacturer (oem),"shoes, boots, shoes, boots, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes, shoes,"
/content/Dataset_simple_sketch/test/zebra/19954.png,zebra,zebra,zebra,the zebra is a zebra,a zebra,from a zoo,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/zebra/19945.png,zebra,zebra,a line drawing of a zebra,the zebra is wearing a hat,a zebra,from a zoo,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/zebra/19998.png,zebra,zebra,zebra,the zebra is a single line drawing of a zebra,a zebra,"from a zoo, zoo, zoo, zoo, zoo, z","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/zebra/19960.png,zebra,zebra,a line drawing of a zebra,the zebra is a single line drawing of a zebra,a zebra,"from a zoo, zoo, zoo, zoo, zoo, z","in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/zebra/19996.png,zebra,a dachshund,a line drawing of a zebra,the animal is a zebra,a skeleton,from a zoo,"animal shelters, zoos, zoos, zoos, zoos, z"
/content/Dataset_simple_sketch/test/zebra/19944.png,zebra,zebra,a line drawing of a zebra,the zebra is drawn in a zig-zag pattern on a white background,it is a drawing of a zebra,from a zoo,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/zebra/19984.png,zebra,zebra,a line drawing of a zebra,the zebra is wearing a striped shirt,"it is a zebra, a zebra is a zebra, a zebra is a ze","from a zoo, zoo, zoo, zoo, zoo, z","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/zebra/19988.png,zebra,zebra,zebra,the zebra's head is tilted to the side,a zebra,"from a zoo, zoo, zoo, zoo, zoo, z","in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/zebra/19995.png,zebra,zebra,zebra,the zebra's head is tilted to the side,a zebra,from a zoo,"zoos, zoos, zoos, zoos, zoos,"
/content/Dataset_simple_sketch/test/zebra/19952.png,zebra,zebra,line drawing of a zebra,the zebra's head is tilted to one side,a zebra,"from a zoo, zoo, zoo, zoo, zoo, z","zoos, zoos, zoos, zoos, zoos,"
/content/Dataset_simple_sketch/test/zebra/19986.png,zebra,zebra,zebra,the zebra is a black and white drawing of a zebra,a zebra,"from a zoo, zoo, zoo, zoo, zoo, z","children's books, children's books, children's books, children's books, children's books, children's books,"
/content/Dataset_simple_sketch/test/zebra/19962.png,zebra,teddy bear,a line drawing of a giraffe,the animal is a zebra,it is a character in a comic book,"from a zoo, aquarium, or zoo","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/zebra/19973.png,zebra,zebra,zebra,the zebra is a black and white drawing of a zebra,a zebra coloring page,from a zoo,"in a children's coloring book, in a children's coloring book, in a children's coloring book, in a"
/content/Dataset_simple_sketch/test/zebra/20000.png,zebra,t-shirt,a line drawing of a sheep,the drawing is a single line drawing of a sheep,it is a character in a comic book,from a tattoo parlour,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/zebra/19941.png,zebra,zebra,zebra,the zebra is a single line drawing of a zebra,a zebra,"from a zoo, zoo, zoo, zoo, zoo, z","t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/zebra/19976.png,zebra,tiger,a line drawing of a tiger,the outline of a tiger is drawn in a single line,it is a cutout of a tiger,from a zoo,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/airplane/37.png,airplane,airplane,airplane,the plane is a single line drawing,it is a plane,from a travel agent,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/airplane/73.png,airplane,airplane,a line drawing of a plane,the shape of the plane's wings and the shape of the plane's tail,a line drawing of a plane,from an airline,"airports, airports, airports, airports, airports, airports, airports, airports, airports, airports,"
/content/Dataset_simple_sketch/test/airplane/36.png,airplane,airplane,a line drawing of a plane,the shape of the plane's wings,a plane,a credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1 credit usd $1,airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages
/content/Dataset_simple_sketch/test/airplane/78.png,airplane,airplane,airplane,the plane has a wing and a tail,child's toy,from a child's drawing of a plane,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/52.png,airplane,airplane,a line drawing of a plane,the plane is a single line drawing of a plane with a heart in the shape of a heart,a plane,from a doodle artist,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/48.png,airplane,airplane,airplane,the plane has a wing and a tail,it is a drawing of a plane,from a travel agent,airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages
/content/Dataset_simple_sketch/test/airplane/46.png,airplane,airplane,airplane,the plane has a wing and a tail,a plane,from a travel agency,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/56.png,airplane,airplane,airplane,the plane is a single line drawing,a toy airplane,from a toy store,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/19.png,airplane,airplane,a line drawing of a plane,"the shape of the plane's wings, the shape of the plane's body, and the shape of the plane's tail",a plane,from a manufacturer,airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages
/content/Dataset_simple_sketch/test/airplane/59.png,airplane,airplane,the shape of the item is a line drawing of a plane,there is a wing on the side of the plane,it's a plane,in a dungeon or dungeons and dragons game,"airplanes, helicopters, boats, airplanes, helicopters, boats, airplanes, helicopters, boats, airplanes, helicopters,"
/content/Dataset_simple_sketch/test/airplane/38.png,airplane,airplane,a line drawing of a plane,the shape of the plane's wings and the shape of the plane's tail,a drawing of a plane,from a travel agent,airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages
/content/Dataset_simple_sketch/test/airplane/13.png,airplane,airplane,airplane,the plane has a wing and a tail,a plane,from a travel agency,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/17.png,airplane,airplane,airplane,the plane has a wing and a tail,a plane,from an airline,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/airplane/68.png,airplane,airplane,airplane,the plane has a wing and a tail,it is a plane,from a travel agency,airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages
/content/Dataset_simple_sketch/test/airplane/67.png,airplane,airplane,a line drawing of a plane on a white background,the plane is a single-line drawing of a plane,a plane,from a plane crash,airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages airplane coloring pages
/content/Dataset_simple_sketch/test/airplane/42.png,airplane,airplane,a line drawing of a plane,the plane has a wing and a tail,it is a plane,from a travel agency,"airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/panda/11486.png,panda,kangaroo,a kangaroo,the kangaroo is wearing a t-shirt with a kangaroo on it,it is a kangaroo,in the form of a teddy bear,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/panda/11443.png,panda,panda,a panda bear,the panda bear's face is drawn in a single line,it is a drawing of a panda bear,"from a zoo, aquarium, or zoo","children's books, coloring books, coloring pages, coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring"
/content/Dataset_simple_sketch/test/panda/11442.png,panda,panda,panda bear,"the shape of the panda bear's paws, the shape of the panda bear's head, and the shape of",it is a drawing of a panda bear,"from a zoo, zoo, zoo, zoo, zoo, z","in a coloring book, in a coloring book, in a coloring book, in a coloring book, in a coloring book,"
/content/Dataset_simple_sketch/test/panda/11453.png,panda,panda,a panda bear,the panda bear is wearing a hat,it is a drawing of a panda bear,"it is typically obtained from a zoo, zoo, zoo, zoo, zo","children's books, coloring books, coloring pages, coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring"
/content/Dataset_simple_sketch/test/panda/11498.png,panda,teddy bear,teddy bear,the teddy bear has a teddy bear shaped head and a teddy bear shaped body,it is a teddy bear,from a teddy bear store,"teddy bears, stuffed animals, teddy bears, teddy bears, teddy bear"
/content/Dataset_simple_sketch/test/panda/11464.png,panda,kangaroo,a koala koala koala koala koala ko,the koala is a koala koala koala koala,it is a kangaroo,"from a zoo, zoo, zoo, zoo, zoo, z","in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/panda/11509.png,panda,pokémon,the item is shaped like a cat,the cat is wearing a white shirt and a black hat,a character in a video game,in the form of a pokemon card,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/panda/11473.png,panda,teddy bear,a teddy bear,the bear is wearing a hat and a t-shirt,it is a stuffed animal,"from a zoo, aquarium, or zoo","a stuffed animal, a teddy bear, a teddy bear doll, a teddy bear"
/content/Dataset_simple_sketch/test/panda/11495.png,panda,teddy bear,a teddy bear,the teddy bear is wearing a shirt,it is a teddy bear,from a toy store,"toy store, toy store, toy store, toy store, toy store, toy store, toy store, toy"
/content/Dataset_simple_sketch/test/panda/11505.png,panda,a seal,a seal,the seal's head is tilted to the side,a seal,from a zoo or aquarium,"in a zoo, aquarium, zoo, zoo, zoo, zoo,"
/content/Dataset_simple_sketch/test/panda/11474.png,panda,a bear,a line drawing of a bear,the bear's head is tilted to the side,as a character in a story,it is usually obtained from a tattoo parlour,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/panda/11513.png,panda,panda,panda bear,panda bear coloring pages,a panda bear coloring page,"from a zoo, aquarium, or zoo","children's coloring books, coloring pages, coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages,"
/content/Dataset_simple_sketch/test/panda/11460.png,panda,teddy bear,letter o,the bear is holding the letter o,the letter o,"from a zoo, zoo, zoo, zoo, zoo, z","a child's room, a child's bedroom, a child's playroom, a child's bedroom, "
/content/Dataset_simple_sketch/test/panda/11497.png,panda,teddy bear,teddy bear,the teddy bear is wearing a teddy bear hat,it is a teddy bear,from a teddy bear,"teddy bears, teddy bears, teddy bears, teddy bears, t"
/content/Dataset_simple_sketch/test/panda/11445.png,panda,panda,a panda bear,the bear is wearing a hat and a hat is on his head,it is a drawing of a panda,from a child's drawing,"a child's bedroom, a child's playroom, a child's bedroom, a child's playroom,"
/content/Dataset_simple_sketch/test/panda/11466.png,panda,koala,koala,the koala bear is wearing a koala hat,it is a koala,from a koala koala koala koala koala k,"a koala, a koala, a koala, a koal"
/content/Dataset_simple_sketch/test/space shuttle/15798.png,space shuttle,hat,hat,"the hat is shaped like a hat, and the hat is shaped like a hat",a hat,from a toyota dealer,hats hats hats hats hats hats hats hats hats hats
/content/Dataset_simple_sketch/test/space shuttle/15764.png,space shuttle,rocket,a line drawing of a rocket,the rocket has a spherical body and a spherical tail,a rocket launcher,from a rocket launcher,"airplanes, spaceships, rockets, spaceships, rockets, rockets, rockets, rockets, rockets, rocket"
/content/Dataset_simple_sketch/test/space shuttle/15810.png,space shuttle,a teddy bear,the shape of the item is a spherical shape,there is a hat on top of the head,it is a chair,in the form of a teddy bear or teddy bear doll,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/space shuttle/15803.png,space shuttle,eagle,the item is shaped like a bird,the eagle's head is tilted to the right and the eagle's body is tilted to the,it is a bird,"from a zoo, zoo, zoo, zoo, zoo, z","airplanes, helicopters, airplanes, helicopters, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/space shuttle/15834.png,space shuttle,a building,a line drawing of a mountain,"the shape of the building is a triangle, and the shape of the building is a pyramid",it is a building or structure,from a museum or art gallery,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/space shuttle/15828.png,space shuttle,a castle,a line drawing of a castle on top of a hill,there is a castle on top of a hill,a building or structure,from a comic book or graphic novel,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/space shuttle/15814.png,space shuttle,rocket,the item is shaped like a rocket,the image is a black and white drawing of a rocket,it is a rocket launcher,from a spacecraft,"airplanes, spaceships, spaceships, rockets, spaceships, rockets, rockets, rockets, rockets,"
/content/Dataset_simple_sketch/test/space shuttle/15815.png,space shuttle,a sabertooth tiger sabertooth tiger sabertooth tiger sabert,the shape of the item is a line drawing,the outline of a shark's tail and the shape of a shark's snout,it is a rocket launcher,from the fossilized remains of a mammoth,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/space shuttle/15804.png,space shuttle,a plane,a line drawing of a plane,"the shape of the plane's wings, the shape of the tail, and the shape of the fuselage",it is a drawing of a plane,from a hobby shop,"airplanes, helicopters, airplanes, helicopters, airplanes, airplanes, airplanes, airplanes, airplanes, airplanes,"
/content/Dataset_simple_sketch/test/space shuttle/15789.png,space shuttle,space shuttle,a drawing of a space shuttle with the word nasa written on it,the space shuttle is shaped like a rocket,nasa space shuttle,from the nasa website,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/space shuttle/15838.png,space shuttle,rocket,a rocket ship,the rocket has a spherical body and a spherical tail,a spaceship,from a rocket launcher,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
